@relation 'breast-cancer-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R1,8-9,24,31-32,34-37,49_ICA-weka.filters.unsupervised.attribute.IndependentComponents-W-A38-N200-T1.0E-4'

@attribute Source_0 numeric
@attribute Source_1 numeric
@attribute Source_2 numeric
@attribute Source_3 numeric
@attribute Source_4 numeric
@attribute Source_5 numeric
@attribute Source_6 numeric
@attribute Source_7 numeric
@attribute Source_8 numeric
@attribute Source_9 numeric
@attribute Source_10 numeric
@attribute Source_11 numeric
@attribute Source_12 numeric
@attribute Source_13 numeric
@attribute Source_14 numeric
@attribute Source_15 numeric
@attribute Source_16 numeric
@attribute Source_17 numeric
@attribute Source_18 numeric
@attribute Source_19 numeric
@attribute Source_20 numeric
@attribute Source_21 numeric
@attribute Source_22 numeric
@attribute Source_23 numeric
@attribute Source_24 numeric
@attribute Source_25 numeric
@attribute Source_26 numeric
@attribute Source_27 numeric
@attribute Source_28 numeric
@attribute Source_29 numeric
@attribute Source_30 numeric
@attribute Source_31 numeric
@attribute Source_32 numeric
@attribute Source_33 numeric
@attribute Source_34 numeric
@attribute Source_35 numeric
@attribute Source_36 numeric
@attribute Source_37 numeric
@attribute Class {no-recurrence-events,recurrence-events}

@data
0.009404,0.006034,0.014339,-0.060644,0.024818,-0.097602,0.059605,-0.060772,0.018336,-0.026733,0.038691,-0.005026,0.046204,-0.054478,0.017078,-0.007312,-0.040357,-0.028405,-0.095229,-0.031223,-0.095875,0.029545,0.046277,-0.014898,0.008597,0.043995,0.019003,-0.047005,-0.00999,-0.050748,0.0073,-0.058386,-0.011666,0.021134,0.005022,-0.004696,0.017775,-0.041116,no-recurrence-events
0.045537,0.069755,-0.07819,0.030154,-0.092125,0.10906,0.0116,-0.044109,-0.123449,0.026489,-0.03507,0.018168,-0.00737,0.002406,-0.018323,0.033703,-0.012769,0.030433,-0.023452,-0.010471,-0.023854,0.003544,0.094144,-0.012701,0.014029,-0.015331,0.007773,-0.051766,0.038228,0.045203,0.072242,0.000376,0.232597,0.001451,0.031999,-0.030575,0.004348,-0.003152,no-recurrence-events
0.000615,0.031425,-0.029606,0.017481,-0.012291,-0.040961,0.043003,0.042744,-0.083227,-0.022827,-0.051641,0.008646,0.052063,-0.032994,-0.086438,0.02882,-0.035474,0.014563,0.016099,-0.005833,-0.029469,0.014897,0.036511,0.072993,0.035941,-0.053662,0.061972,-0.051888,-0.047099,0.00394,-0.020043,-0.005652,0.041068,0.005509,0.073381,-0.032039,0.015822,-0.101663,no-recurrence-events
0.032265,0.062118,-0.01612,-0.014648,0.047051,0.046915,-0.045546,0.041739,-0.005421,0.025689,-0.018974,0.006597,-0.063666,0.031735,-0.015349,0.015239,-0.036443,0.034948,0.062057,-0.04839,0.029727,0.014639,-0.101534,-0.046729,0.05124,-0.081723,-0.012423,0.023112,-0.03325,-0.033284,-0.003169,-0.010703,-0.031857,-0.014443,0.03842,-0.070209,0.038667,-0.050377,recurrence-events
-0.067744,-0.032784,-0.002018,0.039675,0.075355,0.121572,0.037968,0.118,-0.013098,0.003052,0.054774,0.026957,-0.003463,0.041469,0.02074,-0.052478,-0.070386,-0.004724,-0.050796,-0.035862,-0.012135,-0.019893,-0.130832,-0.067388,-0.008432,0.088184,-0.050821,-0.037606,0.057759,0.067512,0.005835,0.045786,0.097312,-0.04396,-0.014876,0.002629,-0.065965,0.110129,no-recurrence-events
-0.048213,-0.062325,-0.006168,-0.043065,0.005287,-0.054511,-0.085903,-0.045147,-0.094946,-0.085327,-0.048711,0.052592,0.040345,0.084194,0.007312,0.013195,0.111987,-0.108484,0.020005,-0.012668,-0.011891,-0.005611,0.071668,0.115961,0.031058,0.11626,0.116659,0.054069,0.065206,0.003696,0.034644,-0.014929,0.030326,0.009416,0.012834,0.089054,0.045119,0.050681,no-recurrence-events
0.009404,0.006034,0.014339,-0.060644,0.024818,-0.097602,0.059605,-0.060772,0.018336,-0.026733,0.038691,-0.005026,0.046204,-0.054478,0.017078,-0.007312,-0.040357,-0.028405,-0.095229,-0.031223,-0.095875,0.029545,0.046277,-0.014898,0.008597,0.043995,0.019003,-0.047005,-0.00999,-0.050748,0.0073,-0.058386,-0.011666,0.021134,0.005022,-0.004696,0.017775,-0.041116,no-recurrence-events
0.05042,-0.070138,0.023128,0.085597,-0.004967,-0.039801,-0.02145,0.044208,0.027125,0.016235,0.037715,-0.030416,-0.034118,0.002162,-0.03761,0.056836,-0.035474,-0.026452,0.008287,-0.044895,-0.009938,-0.022213,0.039929,0.03393,-0.031442,0.038135,0.101034,0.003288,0.114034,-0.099286,-0.127465,0.01803,0.021018,-0.012313,0.175432,0.022648,0.015822,0.014548,no-recurrence-events
-0.029658,-0.082833,0.00848,0.009425,0.08683,0.016351,0.07523,0.034443,0.034937,-0.022827,-0.031133,0.043802,0.036194,-0.029088,-0.00636,0.028515,-0.057935,-0.073327,0.027818,0.054714,0.029125,-0.007564,-0.051867,0.07104,-0.018747,0.030323,0.026815,-0.086556,0.048604,0.027209,-0.041528,-0.028357,0.049339,-0.0045,0.028947,0.046086,-0.050584,-0.032327,no-recurrence-events
0.070928,0.000175,0.08514,0.007228,-0.026451,-0.000739,0.075108,0.024921,-0.045629,-0.079468,0.053584,-0.095846,-0.184692,0.055873,-0.047376,-0.046161,0.079516,-0.003991,0.206529,-0.002415,0.002758,-0.055904,0.012647,0.006586,-0.073434,-0.016552,-0.05131,-0.002328,-0.03538,0.012408,-0.046411,-0.025854,0.064842,0.029313,-0.096297,0.006046,-0.121873,-0.011331,recurrence-events
0.052773,0.014267,-0.077644,0.095215,0.00457,-0.002462,-0.016127,-0.02247,0.023388,-0.116889,0.010078,0.01148,-0.039801,0.069821,0.05887,0.023814,-0.043523,-0.083216,-0.069778,-0.04839,-0.064023,-0.05079,0.070769,0.048975,0.021944,0.011051,0.075467,0.062907,0.087844,-0.0127,-0.102778,-0.04177,-0.00192,0.061363,0.071379,-0.057513,0.099214,-0.055259,no-recurrence-events
-0.013057,0.016288,0.010921,-0.062841,-0.037682,-0.034491,0.045811,-0.066387,-0.067602,0.057251,0.004878,-0.027487,0.020508,-0.095494,-0.044446,-0.004871,-0.073804,0.01261,0.025865,0.00198,-0.038258,0.059818,0.026746,0.046625,0.006644,-0.023388,0.093222,-0.025033,0.012471,-0.039143,0.021949,-0.050146,0.046806,0.064836,-0.025984,-0.082821,0.053908,-0.02012,no-recurrence-events
0.006474,-0.01545,-0.013981,-0.043065,0.0131,-0.013251,-0.078091,-0.068585,0.026148,-0.042358,-0.015508,0.035013,0.028626,0.031459,-0.03761,0.021008,0.068042,-0.014734,0.027818,-0.030247,-0.033375,0.030522,-0.04552,0.022211,-0.011911,0.104542,-0.027872,0.0111,-0.032451,0.010776,0.058082,0.110071,0.001029,-0.021834,-0.01451,0.049992,0.009963,-0.016702,no-recurrence-events
-0.080039,0.102158,0.095696,-0.071289,0.123223,0.035807,-0.051405,-0.014901,0.080517,0.051079,-0.038994,0.037847,-0.030463,-0.10303,-0.017302,-0.085347,-0.069402,-0.000208,-0.016068,-0.06255,-0.028867,0.000967,-0.048799,-0.093604,-0.002471,0.028629,0.08328,-0.017415,0.0605,0.061412,-0.014888,-0.041465,-0.058225,0.034385,-0.151033,0.095807,0.042574,0.108803,recurrence-events
-0.003291,0.001152,-0.091129,-0.015722,0.048256,-0.090155,0.060581,0.029072,-0.038305,-0.085327,-0.095098,-0.012838,0.079407,-0.048619,0.019031,-0.026844,-0.040357,-0.01864,0.059068,0.052761,-0.011891,-0.058346,0.052136,0.13354,-0.052926,0.001026,0.015097,-0.047982,0.038838,0.043277,-0.020043,-0.029089,0.0606,0.068009,0.0851,-0.033993,0.000197,0.024314,no-recurrence-events
0.010381,-0.067696,-0.052555,-0.04331,-0.074791,0.029474,-0.052822,-0.025372,-0.126196,-0.018921,-0.036138,0.006693,0.032227,-0.083775,-0.10011,-0.003894,-0.04939,-0.01864,0.04149,0.009792,0.034984,0.067631,0.050183,0.06225,-0.005075,0.035206,0.077597,0.03942,-0.044169,0.000896,0.029761,0.026026,0.015556,0.058976,-0.02989,-0.05743,0.012892,-0.041604,no-recurrence-events
0.006474,-0.01545,-0.013981,-0.043065,0.0131,-0.013251,-0.078091,-0.068585,0.026148,-0.042358,-0.015508,0.035013,0.028626,0.031459,-0.03761,0.021008,0.068042,-0.014734,0.027818,-0.030247,-0.033375,0.030522,-0.04552,0.022211,-0.011911,0.104542,-0.027872,0.0111,-0.032451,0.010776,0.058082,0.110071,0.001029,-0.021834,-0.01451,0.049992,0.009963,-0.016702,no-recurrence-events
-0.007197,0.01287,0.018734,0.011134,-0.059654,-0.073737,0.000889,-0.018047,-0.004614,-0.007202,-0.059209,0.039896,0.049683,0.001186,0.062976,-0.019794,-0.03645,-0.056726,-0.02394,0.070828,0.027172,-0.054928,0.092725,-0.010992,-0.008981,0.073292,-0.117716,0.025993,0.061299,0.005908,0.061011,-0.090307,-0.107033,0.02736,-0.002547,-0.003719,-0.062303,0.065329,no-recurrence-events
-0.04626,-0.041817,0.094906,-0.086522,-0.016686,-0.036628,0.05167,-0.076641,0.050074,-0.05603,-0.076787,-0.010885,0.034058,-0.024205,0.05907,-0.066669,-0.000318,0.060462,0.022935,-0.141086,0.093578,0.003178,-0.012744,-0.175054,0.053519,-0.057568,-0.11381,-0.053353,0.051534,-0.139356,-0.015161,0.071802,0.023826,-0.136702,-0.221297,-0.046688,0.185744,0.12197,recurrence-events
0.018193,-0.022042,-0.005924,0.030154,-0.094078,0.075978,-0.017696,-0.024578,-0.062902,0.010864,0.045497,0.037699,0.008255,0.041469,0.040271,0.005383,-0.069409,-0.053552,-0.121108,-0.02219,-0.051198,0.003544,0.096097,-0.106451,0.035514,0.047169,-0.082071,-0.047372,-0.012553,0.069648,0.060523,-0.017202,0.088066,-0.035659,0.004655,-0.04034,-0.069871,0.030051,recurrence-events
-0.073203,0.121201,-0.070808,-0.022216,-0.036445,0.014628,-0.011366,-0.020272,-0.080128,-0.085639,-0.068169,0.07691,-0.092841,0.075681,0.085237,0.01649,0.035823,-0.065638,-0.030716,0.009227,-0.024961,-0.037607,0.078581,0.012842,0.062959,-0.021176,0.032498,0.03947,-0.012742,0.000857,0.027105,-0.090659,-0.018643,0.024986,-0.053377,-0.034076,0.073824,-0.070884,no-recurrence-events
-0.100459,-0.071358,0.010677,0.063136,0.027382,-0.020606,0.03812,0.054218,0.010523,0.008423,-0.028203,0.005228,0.025849,-0.00565,-0.048352,0.02174,-0.037793,0.01261,-0.000991,0.020535,0.009105,0.027592,-0.057666,0.06225,-0.044626,-0.041943,0.030722,0.00817,0.039815,0.062236,0.070777,-0.081213,-0.043954,-0.124373,0.022844,0.035832,-0.051072,-0.116556,no-recurrence-events
-0.050166,-0.07502,0.000667,-0.007909,0.034584,0.008355,0.052769,0.005634,0.016382,-0.022827,-0.01502,0.045756,0.032532,-0.021275,-0.023938,0.020031,-0.064282,-0.090905,0.016099,0.065457,-0.007985,-0.011471,-0.012317,0.082758,-0.025583,0.008838,0.034628,-0.102181,-0.015849,0.048892,-0.037622,0.010462,0.071342,0.015275,0.005022,0.00507,-0.036912,-0.021585,no-recurrence-events
0.076211,0.101181,-0.014656,-0.016601,0.023613,0.094645,-0.051405,-0.069589,0.043407,0.054986,-0.02581,0.044683,-0.081244,0.049314,-0.00656,0.044536,0.024104,0.013464,0.026901,0.018504,0.063906,-0.024423,-0.062471,-0.052588,0.007295,-0.061215,-0.04172,0.016765,0.010696,-0.057698,0.0398,-0.00045,0.053104,0.020713,-0.014315,-0.007709,0.047456,0.005776,recurrence-events
-0.073604,0.10955,0.049007,-0.04746,0.039955,-0.010016,0.061436,-0.010235,0.020777,0.065063,0.022334,0.019388,-0.016723,-0.030064,-0.033704,-0.038349,0.011157,0.050696,-0.031753,-0.004368,-0.024586,0.005619,-0.096728,-0.024664,-0.022653,0.073292,0.019003,0.01525,0.066182,-0.09306,0.043433,-0.000464,-0.003518,0.025407,-0.096297,0.041203,0.053908,0.058982,no-recurrence-events
0.048467,-0.068184,-0.006168,-0.029394,0.030678,-0.026801,-0.08395,-0.039288,-0.001196,-0.046265,0.013301,-0.002096,0.071595,0.011928,-0.061047,0.00343,0.015307,-0.004968,0.021958,-0.054661,-0.02361,0.049076,-0.051379,0.020258,0.012503,0.069385,-0.016153,0.029166,-0.052958,0.016635,0.030738,0.099817,-0.029244,-0.002303,0.024553,-0.018368,0.000197,-0.00596,no-recurrence-events
0.10999,0.000419,0.062435,0.156863,-0.088707,-0.088267,0.043827,0.012531,-0.220129,0.010864,0.084071,0.151957,0.031693,-0.169469,0.247302,0.095959,-0.086011,0.089026,0.093736,-0.051487,-0.023854,-0.031612,-0.013644,-0.145513,-0.016244,0.058887,0.046835,0.015128,-0.133647,0.227607,-0.044946,0.022348,0.027,-0.067397,-0.04222,0.182316,0.113723,0.157004,no-recurrence-events
-0.036494,-0.020333,0.007992,0.030665,0.053627,0.058954,0.071201,-0.029766,0.057886,-0.007202,-0.010381,0.017435,0.002808,-0.032017,0.02782,0.034893,-0.059888,0.013587,0.077622,0.048367,0.029125,0.026615,-0.14165,0.012446,-0.008981,0.014698,-0.094278,-0.037484,0.010518,0.064197,0.015113,0.054224,-0.036721,0.003923,-0.049422,-0.081844,-0.062303,-0.036233,no-recurrence-events
0.056279,-0.056344,-0.021427,-0.080861,-0.018089,0.059938,-0.076321,-0.016705,-0.015112,0.064575,0.024897,-0.002706,-0.000534,0.027553,0.022937,-0.020984,0.1057,-0.022058,-0.000991,-0.005344,-0.028737,0.003666,0.007566,0.093989,-0.037423,0.113575,-0.051798,0.011955,-0.009746,0.049476,0.056861,0.132257,-0.045247,-0.049544,-0.064986,-0.007137,0.052932,-0.029764,no-recurrence-events
-0.106807,-0.016427,0.08221,0.042384,-0.047936,0.033563,0.032139,-0.010235,-0.004614,0.10022,-0.004521,0.045756,0.014527,0.065639,0.025867,-0.101825,0.033862,0.068274,-0.090346,-0.003391,0.001781,0.080815,-0.071338,-0.042242,0.018363,0.014698,-0.08256,0.101188,-0.063701,-0.01637,-0.068872,0.050318,-0.052346,0.097673,-0.084578,0.062687,-0.081834,0.051657,recurrence-events
-0.02291,-0.043594,-0.103767,-0.118652,-0.148628,-0.068166,0.030748,-0.030526,0.104443,0.004204,0.066719,-0.029047,0.016015,0.036618,0.067659,-0.083608,0.122615,0.071081,-0.00679,-0.064992,-0.003965,0.059561,-0.040621,-0.123877,-0.094756,-0.147152,0.016873,0.142497,-0.007859,0.103167,0.025151,0.081887,-0.042477,0.037193,0.075529,0.008405,-0.100493,-0.06234,no-recurrence-events
-0.041377,0.037773,-0.017399,-0.015966,-0.08651,-0.040351,0.01749,0.021503,-0.092993,-0.028687,0.000483,0.013529,-0.036132,-0.038853,-0.004407,0.023449,-0.033765,-0.006921,-0.050307,0.003445,-0.025563,0.01392,0.095105,-0.045171,0.026175,-0.018505,-0.018106,-0.014291,-0.106669,-0.034261,0.000464,-0.005224,-0.072335,0.002336,0.011125,-0.086727,-0.033983,-0.068948,no-recurrence-events
-0.124873,-0.091866,-0.058659,0.010646,0.037636,-0.077796,0.033237,0.013203,0.038843,-0.057983,-0.055059,-0.014303,0.049286,-0.013463,0.037585,-0.041492,-0.050489,-0.036218,0.032212,0.089871,-0.010426,-0.050533,-0.002612,0.134516,-0.141305,-0.006787,-0.008341,-0.002572,0.061299,0.123286,0.074683,-0.066076,-0.002419,-0.042098,0.007219,-0.007137,-0.054979,0.02114,recurrence-events
-0.073604,0.10955,0.049007,-0.04746,0.039955,-0.010016,0.061436,-0.010235,0.020777,0.065063,0.022334,0.019388,-0.016723,-0.030064,-0.033704,-0.038349,0.011157,0.050696,-0.031753,-0.004368,-0.024586,0.005619,-0.096728,-0.024664,-0.022653,0.073292,0.019003,0.01525,0.066182,-0.09306,0.043433,-0.000464,-0.003518,0.025407,-0.096297,0.041203,0.053908,0.058982,no-recurrence-events
-0.036006,-0.129952,0.07513,0.035792,0.023476,-0.021582,-0.038052,-0.008282,0.033961,0.06311,0.042109,0.006205,0.01413,0.045131,-0.042493,0.029553,0.005176,-0.04989,-0.063491,0.045925,0.057933,-0.015377,0.004834,0.007563,-0.071969,-0.03999,0.030722,0.021842,0.05544,-0.006123,0.068824,-0.081213,-0.004891,-0.100936,0.046281,0.070988,-0.070604,0.043601,recurrence-events
0.071328,-0.055069,-0.098152,-0.068847,0.026055,0.038798,-0.079604,-0.008798,-0.009815,-0.097358,-0.021172,0.055425,0.012933,-0.020022,-0.042692,-0.032826,-0.056707,-0.089076,-0.079544,-0.032765,-0.00543,0.022452,0.033659,-0.011572,-0.000517,0.052066,0.036405,0.027751,-0.071336,-0.01148,-0.001216,-0.031028,0.005893,0.037925,-0.018465,0.034284,0.04062,-0.090416,no-recurrence-events
0.003945,-0.009171,-0.007331,-0.043457,-0.036445,-0.017477,-0.069838,-0.057626,0.132763,0.101861,-0.070976,0.037847,0.018792,0.077634,0.05887,-0.131459,-0.026921,0.035924,-0.007278,-0.024953,-0.073789,0.049795,-0.060091,-0.023291,-0.038603,-0.037777,-0.158908,0.016521,-0.122117,0.038417,-0.061763,0.039773,0.018588,0.073081,0.012785,0.088971,-0.041411,-0.004478,no-recurrence-events
0.018594,-0.034561,0.018059,0.026856,0.002617,0.016215,-0.104018,0.088859,0.076122,0.027642,-0.071465,-0.187739,0.03637,-0.004397,0.041292,-0.083608,-0.076726,0.030065,0.039597,0.041454,0.010195,-0.128915,0.023894,-0.038916,-0.020049,-0.020199,0.055936,-0.078694,-0.098679,-0.068578,0.092534,0.026589,0.09183,0.129722,0.116301,0.10069,0.095308,-0.02108,no-recurrence-events
-0.011104,-0.055489,0.016292,0.109278,-0.074791,-0.000922,0.001987,-0.009991,0.059351,0.020142,0.014277,0.013529,0.005188,-0.00565,-0.066907,0.043469,-0.099439,-0.059655,0.020005,0.006863,-0.060719,-0.006588,0.02284,0.090571,-0.029489,0.043995,0.065878,-0.035775,0.070088,0.016177,-0.090356,0.05343,0.028373,0.007463,0.063615,-0.010555,0.023635,-0.052835,no-recurrence-events
-0.031211,0.116806,-0.025398,-0.172851,-0.093574,-0.086019,-0.125624,0.051505,0.055126,-0.109077,0.210518,0.04566,0.012506,-0.048343,0.08719,0.048442,0.082698,0.091589,0.015182,0.051708,0.09125,0.080557,-0.062471,-0.036963,0.081514,-0.084652,0.106717,-0.081868,0.207961,0.000895,0.006597,-0.084434,0.064822,0.091026,-0.104158,-0.003802,0.008394,-0.10067,recurrence-events
0.14124,-0.037911,0.172542,0.062403,-0.078697,-0.045844,0.0098,-0.017803,-0.02268,-0.034546,0.092402,-0.072408,-0.033874,0.127162,-0.154797,-0.062,0.029468,-0.051843,0.133287,-0.017551,-0.05486,-0.055416,0.050183,0.020258,-0.002145,-0.045849,-0.074747,-0.011361,-0.084208,0.076236,-0.02395,-0.024695,0.051811,0.0309,-0.084822,0.008976,-0.107225,-0.0001,no-recurrence-events
-0.020869,0.023857,-0.023502,0.004519,-0.00277,0.021962,-0.022579,-0.092938,0.018152,0.049927,0.037196,-0.200582,0.047318,0.064906,0.036365,0.041272,-0.06648,-0.090661,0.042954,0.016873,-0.012135,0.034794,-0.138644,-0.122076,0.116568,0.023731,-0.082071,0.081535,0.014791,0.062629,-0.076196,0.043833,-0.027688,-0.16896,0.012468,0.088566,-0.062059,0.082785,no-recurrence-events
-0.064326,0.035087,-0.040104,0.120021,-0.058067,-0.103919,-0.228481,0.024921,0.095484,-0.116577,0.165156,-0.044576,-0.032745,-0.01151,0.041492,0.064953,0.009082,0.204016,-0.084975,0.0928,-0.00066,0.044193,0.01106,0.114985,-0.10029,-0.077099,-0.059122,-0.066537,0.090596,0.004298,-0.044458,0.002283,0.0718,-0.02452,-0.027937,-0.036434,-0.033494,-0.108743,no-recurrence-events
0.114297,0.013412,-0.027473,-0.034622,0.084221,0.088244,-0.024123,0.107535,0.000683,0.099419,0.012398,-0.022333,-0.035758,0.05029,0.035433,-0.025258,0.017085,0.018835,0.006882,-0.044972,0.003115,-0.025888,-0.067919,0.050439,0.031587,-0.054135,-0.03049,-0.005574,0.007034,0.019225,-0.021968,0.007271,-0.050668,-0.062539,0.034575,-0.061908,0.087495,-0.090782,no-recurrence-events
-0.057979,-0.026192,-0.002262,-0.023534,-0.078697,-0.025702,0.076206,0.029072,-0.061743,-0.140015,-0.175176,0.044779,0.079407,-0.025181,-0.047376,-0.046375,-0.018384,0.01847,-0.007338,-0.095676,0.091625,-0.042721,0.120496,-0.073492,0.064261,-0.125927,-0.043497,-0.1139,-0.045146,-0.074582,-0.072778,0.074915,0.12017,-0.137069,-0.155135,-0.010555,0.179885,-0.011819,no-recurrence-events
-0.065791,-0.031075,0.003109,-0.059179,0.016518,0.014886,0.012608,0.017109,-0.033911,0.016235,-0.012822,0.029154,-0.106567,-0.018345,0.039539,0.047589,0.036548,-0.050866,0.03856,0.060085,0.063304,-0.032467,0.028272,-0.001226,-0.057809,0.02251,0.058065,-0.051156,0.029073,-0.085248,-0.030786,-0.010229,0.064842,-0.005843,0.03261,0.045109,-0.039842,0.062888,no-recurrence-events
-0.081416,-0.11213,0.05389,0.022853,-0.110436,0.089837,0.11417,-0.11961,-0.117895,-0.089233,-0.145146,0.042826,0.018433,0.044155,0.100085,-0.05495,0.100268,0.076087,-0.08644,-0.118625,0.158031,0.098881,0.116162,-0.120367,0.13555,-0.168896,-0.023966,0.043327,-0.032451,-0.104688,-0.151879,0.053247,0.115623,-0.011702,-0.240828,-0.007625,0.121291,-0.001077,no-recurrence-events
