@relation optdigits-weka.filters.supervised.attribute.NominalToBinary-weka.filters.unsupervised.attribute.RandomProjection-N50-R42-DSparse1

@attribute K1 numeric
@attribute K2 numeric
@attribute K3 numeric
@attribute K4 numeric
@attribute K5 numeric
@attribute K6 numeric
@attribute K7 numeric
@attribute K8 numeric
@attribute K9 numeric
@attribute K10 numeric
@attribute K11 numeric
@attribute K12 numeric
@attribute K13 numeric
@attribute K14 numeric
@attribute K15 numeric
@attribute K16 numeric
@attribute K17 numeric
@attribute K18 numeric
@attribute K19 numeric
@attribute K20 numeric
@attribute K21 numeric
@attribute K22 numeric
@attribute K23 numeric
@attribute K24 numeric
@attribute K25 numeric
@attribute K26 numeric
@attribute K27 numeric
@attribute K28 numeric
@attribute K29 numeric
@attribute K30 numeric
@attribute K31 numeric
@attribute K32 numeric
@attribute K33 numeric
@attribute K34 numeric
@attribute K35 numeric
@attribute K36 numeric
@attribute K37 numeric
@attribute K38 numeric
@attribute K39 numeric
@attribute K40 numeric
@attribute K41 numeric
@attribute K42 numeric
@attribute K43 numeric
@attribute K44 numeric
@attribute K45 numeric
@attribute K46 numeric
@attribute K47 numeric
@attribute K48 numeric
@attribute K49 numeric
@attribute K50 numeric
@attribute class {0,1,2,3,4,5,6,7,8,9}

@data
79.674337,-19.052559,-64.08588,-20.78461,-39.837169,-31.176915,3.464102,13.856406,67.549981,-22.51666,43.30127,86.60254,90.066642,64.08588,17.320508,25.980762,95.262794,60.621778,-27.712813,29.444864,25.980762,-60.621778,-12.124356,36.373067,43.30127,31.176915,-67.549981,-62.353829,36.373067,-36.373067,8.660254,29.444864,39.837169,71.014083,43.30127,-27.712813,-62.353829,138.564065,86.60254,50.229473,-90.066642,-117.779455,34.641016,-57.157677,79.674337,-3.464102,171.47303,-0,-45.033321,-65.817931,0
32.908965,-1.732051,-53.693575,-62.353829,-45.033321,58.889727,-15.588457,-32.908965,53.693575,-3.464102,57.157677,74.478185,27.712813,-1.732051,-5.196152,-3.464102,86.60254,95.262794,-72.746134,13.856406,126.439709,-53.693575,17.320508,-19.052559,41.569219,-10.392305,-48.497423,72.746134,31.176915,-62.353829,-58.889727,-74.478185,45.033321,-20.78461,169.740979,-1.732051,-60.621778,128.17176,34.641016,39.837169,-138.564065,-71.014083,10.392305,-105.655099,76.210236,60.621778,116.047404,12.124356,-45.033321,-3.464102,4
45.033321,-0,51.961524,-29.444864,24.248711,88.334591,-15.588457,-0,-13.856406,24.248711,60.621778,22.51666,126.439709,12.124356,67.549981,-55.425626,164.544827,136.832014,-19.052559,31.176915,110.851252,-8.660254,60.621778,55.425626,67.549981,-22.51666,79.674337,105.655099,27.712813,-15.588457,-79.674337,-38.105118,62.353829,-6.928203,90.066642,-3.464102,-64.08588,154.152522,-20.78461,51.961524,-143.760217,-109.119201,117.779455,-79.674337,77.942286,12.124356,112.583302,58.889727,-43.30127,65.817931,7
79.674337,1.732051,-20.78461,-8.660254,-51.961524,24.248711,1.732051,-31.176915,-13.856406,43.30127,41.569219,41.569219,53.693575,38.105118,6.928203,-74.478185,174.937132,100.458947,12.124356,72.746134,60.621778,-60.621778,76.210236,13.856406,41.569219,-10.392305,-10.392305,17.320508,27.712813,-1.732051,-65.817931,20.78461,41.569219,86.60254,29.444864,5.196152,-32.908965,138.564065,46.765372,3.464102,-102.190998,-64.08588,86.60254,-45.033321,64.08588,53.693575,116.047404,-1.732051,-34.641016,-0,8
84.87049,-1.732051,-81.406388,-31.176915,-95.262794,69.282032,-58.889727,-32.908965,69.282032,0,60.621778,126.439709,46.765372,29.444864,-5.196152,5.196152,84.87049,88.334591,-38.105118,55.425626,129.903811,-79.674337,71.014083,12.124356,41.569219,-19.052559,-51.961524,122.975607,27.712813,-41.569219,-64.08588,-19.052559,51.961524,-20.78461,157.616623,-12.124356,-83.138439,157.616623,51.961524,83.138439,-187.061487,-136.832014,24.248711,-81.406388,98.726896,116.047404,102.190998,39.837169,-74.478185,6.928203,4
50.229473,-5.196152,20.78461,12.124356,58.889727,39.837169,-20.78461,22.51666,31.176915,15.588457,72.746134,0,143.760217,22.51666,98.726896,-50.229473,107.38715,143.760217,17.320508,64.08588,57.157677,-17.320508,43.30127,46.765372,79.674337,-55.425626,17.320508,72.746134,29.444864,-10.392305,-19.052559,8.660254,84.87049,39.837169,107.38715,24.248711,0,209.578148,8.660254,77.942286,-174.937132,-122.975607,81.406388,-84.87049,53.693575,51.961524,124.707658,79.674337,-15.588457,93.530744,7
90.066642,-0,-20.78461,-8.660254,-43.30127,31.176915,-3.464102,-15.588457,5.196152,36.373067,57.157677,65.817931,32.908965,48.497423,10.392305,-62.353829,176.669182,102.190998,-17.320508,60.621778,51.961524,-76.210236,83.138439,25.980762,36.373067,-10.392305,0,34.641016,12.124356,-13.856406,-58.889727,31.176915,36.373067,72.746134,38.105118,3.464102,-36.373067,143.760217,50.229473,19.052559,-90.066642,-83.138439,103.923048,-34.641016,72.746134,41.569219,112.583302,15.588457,-50.229473,-13.856406,8
84.87049,-13.856406,-95.262794,-27.712813,-53.693575,25.980762,-38.105118,3.464102,31.176915,-20.78461,20.78461,39.837169,29.444864,72.746134,25.980762,-20.78461,88.334591,71.014083,6.928203,105.655099,58.889727,-57.157677,39.837169,-17.320508,41.569219,-27.712813,-22.51666,39.837169,29.444864,-53.693575,-1.732051,77.942286,-10.392305,27.712813,20.78461,5.196152,-22.51666,166.276878,45.033321,5.196152,-90.066642,-96.994845,-1.732051,-29.444864,77.942286,46.765372,50.229473,22.51666,-25.980762,10.392305,5
93.530744,-6.928203,-27.712813,3.464102,-60.621778,43.30127,-19.052559,-34.641016,41.569219,50.229473,65.817931,45.033321,57.157677,31.176915,32.908965,5.196152,96.994845,46.765372,-38.105118,29.444864,95.262794,-67.549981,67.549981,-19.052559,36.373067,-34.641016,-50.229473,3.464102,50.229473,-55.425626,-48.497423,-19.052559,36.373067,24.248711,83.138439,13.856406,-50.229473,107.38715,57.157677,50.229473,-107.38715,-105.655099,13.856406,-24.248711,103.923048,36.373067,84.87049,31.176915,-88.334591,-3.464102,9
109.119201,25.980762,-50.229473,-84.87049,-65.817931,27.712813,-17.320508,5.196152,-36.373067,105.655099,55.425626,103.923048,-20.78461,74.478185,39.837169,-27.712813,95.262794,84.87049,76.210236,109.119201,15.588457,-96.994845,43.30127,-17.320508,-20.78461,27.712813,22.51666,60.621778,41.569219,69.282032,41.569219,-3.464102,48.497423,48.497423,58.889727,-1.732051,-51.961524,83.138439,-55.425626,15.588457,-148.956369,-12.124356,36.373067,-133.367912,88.334591,55.425626,79.674337,-103.923048,-74.478185,3.464102,1
109.119201,32.908965,0,-119.511506,10.392305,62.353829,-10.392305,53.693575,-8.660254,88.334591,50.229473,3.464102,91.798693,48.497423,17.320508,22.51666,145.492268,76.210236,-15.588457,58.889727,17.320508,-36.373067,22.51666,13.856406,79.674337,-25.980762,12.124356,19.052559,31.176915,0,79.674337,-55.425626,-6.928203,45.033321,93.530744,25.980762,-39.837169,159.348674,-31.176915,51.961524,-91.798693,-45.033321,6.928203,-93.530744,64.08588,-15.588457,72.746134,-36.373067,-93.530744,3.464102,2
83.138439,-15.588457,-53.693575,-15.588457,-55.425626,-17.320508,0,17.320508,39.837169,1.732051,65.817931,46.765372,74.478185,64.08588,3.464102,3.464102,147.224319,53.693575,-32.908965,20.78461,17.320508,-48.497423,19.052559,12.124356,24.248711,12.124356,-65.817931,-57.157677,-12.124356,10.392305,17.320508,15.588457,15.588457,65.817931,32.908965,1.732051,-38.105118,122.975607,62.353829,10.392305,-76.210236,-86.60254,25.980762,-83.138439,67.549981,31.176915,164.544827,-38.105118,-10.392305,-57.157677,0
65.817931,-27.712813,-72.746134,-58.889727,-72.746134,-36.373067,6.928203,27.712813,-24.248711,31.176915,25.980762,62.353829,57.157677,50.229473,-65.817931,-69.282032,143.760217,69.282032,19.052559,76.210236,-15.588457,-32.908965,12.124356,12.124356,34.641016,24.248711,-53.693575,0,-6.928203,84.87049,3.464102,15.588457,-3.464102,57.157677,50.229473,15.588457,-8.660254,200.917894,19.052559,-48.497423,-90.066642,-27.712813,20.78461,-128.17176,39.837169,81.406388,81.406388,-38.105118,19.052559,-29.444864,6
39.837169,41.569219,-8.660254,-67.549981,-32.908965,102.190998,-22.51666,-38.105118,60.621778,38.105118,39.837169,71.014083,51.961524,-25.980762,-5.196152,-8.660254,79.674337,58.889727,39.837169,79.674337,107.38715,-41.569219,95.262794,-22.51666,67.549981,-19.052559,-20.78461,135.099963,90.066642,6.928203,-79.674337,-95.262794,36.373067,-1.732051,157.616623,5.196152,-71.014083,71.014083,13.856406,57.157677,-124.707658,-36.373067,-13.856406,-116.047404,62.353829,10.392305,69.282032,1.732051,-90.066642,45.033321,1
90.066642,-29.444864,-22.51666,-6.928203,-57.157677,27.712813,-8.660254,-5.196152,15.588457,34.641016,51.961524,107.38715,55.425626,41.569219,3.464102,-45.033321,173.205081,107.38715,-22.51666,29.444864,55.425626,-109.119201,69.282032,39.837169,43.30127,13.856406,-1.732051,10.392305,32.908965,-17.320508,-83.138439,32.908965,43.30127,83.138439,48.497423,-1.732051,-24.248711,138.564065,46.765372,32.908965,-88.334591,-107.38715,121.243557,3.464102,58.889727,20.78461,119.511506,12.124356,-57.157677,-48.497423,8
36.373067,24.248711,17.320508,-38.105118,-8.660254,95.262794,-8.660254,57.157677,-5.196152,13.856406,27.712813,29.444864,117.779455,3.464102,39.837169,-50.229473,135.099963,109.119201,29.444864,95.262794,65.817931,-15.588457,88.334591,102.190998,84.87049,-46.765372,20.78461,86.60254,57.157677,8.660254,-22.51666,-6.928203,39.837169,51.961524,90.066642,5.196152,-50.229473,173.205081,20.78461,43.30127,-98.726896,-88.334591,46.765372,-48.497423,50.229473,43.30127,83.138439,27.712813,-55.425626,38.105118,7
93.530744,-17.320508,-60.621778,-25.980762,-65.817931,-17.320508,19.052559,19.052559,5.196152,5.196152,41.569219,51.961524,74.478185,45.033321,-0,6.928203,147.224319,71.014083,-22.51666,8.660254,-19.052559,-45.033321,-6.928203,22.51666,13.856406,17.320508,-51.961524,-48.497423,-3.464102,13.856406,29.444864,43.30127,1.732051,93.530744,27.712813,-3.464102,-34.641016,128.17176,57.157677,15.588457,-79.674337,-88.334591,55.425626,-57.157677,65.817931,-0,147.224319,-46.765372,-17.320508,-79.674337,0
60.621778,-22.51666,38.105118,-22.51666,8.660254,76.210236,-48.497423,1.732051,19.052559,5.196152,53.693575,74.478185,103.923048,6.928203,64.08588,-17.320508,131.635861,126.439709,-17.320508,43.30127,112.583302,-20.78461,38.105118,43.30127,50.229473,-3.464102,39.837169,100.458947,46.765372,-43.30127,-74.478185,-46.765372,55.425626,-24.248711,126.439709,-13.856406,-83.138439,154.152522,34.641016,50.229473,-143.760217,-122.975607,93.530744,-79.674337,71.014083,-3.464102,143.760217,96.994845,-41.569219,48.497423,7
83.138439,-24.248711,-81.406388,-65.817931,-51.961524,-36.373067,34.641016,32.908965,-22.51666,45.033321,38.105118,55.425626,74.478185,67.549981,-48.497423,-43.30127,116.047404,58.889727,31.176915,83.138439,-1.732051,-58.889727,-17.320508,22.51666,29.444864,53.693575,-34.641016,-5.196152,3.464102,74.478185,8.660254,38.105118,17.320508,77.942286,25.980762,10.392305,-22.51666,181.865335,-8.660254,-36.373067,-114.315353,-58.889727,38.105118,-136.832014,53.693575,60.621778,96.994845,-62.353829,29.444864,-46.765372,6
91.798693,-3.464102,-110.851252,5.196152,-41.569219,34.641016,-38.105118,-46.765372,84.87049,-6.928203,55.425626,129.903811,77.942286,27.712813,20.78461,27.712813,81.406388,93.530744,-48.497423,39.837169,128.17176,-95.262794,36.373067,3.464102,34.641016,-10.392305,-64.08588,114.315353,25.980762,-53.693575,-50.229473,-25.980762,46.765372,-6.928203,147.224319,-6.928203,-43.30127,168.008928,71.014083,72.746134,-195.721741,-140.296115,43.30127,-107.38715,110.851252,72.746134,133.367912,65.817931,-58.889727,22.51666,9
72.746134,36.373067,-31.176915,-76.210236,-50.229473,72.746134,-27.712813,-24.248711,88.334591,81.406388,39.837169,69.282032,36.373067,-8.660254,-17.320508,15.588457,88.334591,57.157677,31.176915,107.38715,109.119201,-48.497423,72.746134,-27.712813,77.942286,17.320508,-46.765372,138.564065,96.994845,-0,-62.353829,-90.066642,50.229473,-3.464102,168.008928,-3.464102,-65.817931,91.798693,19.052559,60.621778,-145.492268,-65.817931,-15.588457,-110.851252,98.726896,13.856406,76.210236,12.124356,-96.994845,38.105118,1
84.87049,-43.30127,-31.176915,-24.248711,-6.928203,57.157677,15.588457,0,-3.464102,25.980762,62.353829,83.138439,69.282032,48.497423,29.444864,-38.105118,152.420471,124.707658,-10.392305,31.176915,64.08588,-67.549981,29.444864,10.392305,72.746134,25.980762,39.837169,117.779455,43.30127,-58.889727,-95.262794,25.980762,76.210236,65.817931,77.942286,-12.124356,-20.78461,162.812776,-1.732051,48.497423,-197.453792,-154.152522,112.583302,-53.693575,100.458947,-24.248711,129.903811,58.889727,-60.621778,39.837169,9
88.334591,13.856406,-25.980762,-36.373067,-76.210236,32.908965,-12.124356,6.928203,-25.980762,32.908965,39.837169,36.373067,45.033321,22.51666,13.856406,-27.712813,119.511506,36.373067,15.588457,60.621778,5.196152,-62.353829,86.60254,20.78461,39.837169,-13.856406,-8.660254,6.928203,38.105118,15.588457,6.928203,24.248711,6.928203,12.124356,79.674337,29.444864,-62.353829,86.60254,32.908965,22.51666,-58.889727,-77.942286,31.176915,-5.196152,90.066642,29.444864,50.229473,-20.78461,-81.406388,-22.51666,3
69.282032,-41.569219,-43.30127,34.641016,-24.248711,38.105118,-45.033321,-83.138439,41.569219,-3.464102,50.229473,121.243557,36.373067,27.712813,41.569219,1.732051,79.674337,96.994845,-83.138439,3.464102,109.119201,-72.746134,48.497423,-8.660254,20.78461,-15.588457,-1.732051,58.889727,17.320508,-90.066642,-69.282032,-34.641016,41.569219,-38.105118,90.066642,-13.856406,-41.569219,102.190998,62.353829,64.08588,-117.779455,-112.583302,71.014083,-48.497423,76.210236,41.569219,95.262794,91.798693,-53.693575,27.712813,9
116.047404,-24.248711,-50.229473,34.641016,-96.994845,19.052559,-71.014083,-57.157677,62.353829,38.105118,39.837169,126.439709,53.693575,41.569219,24.248711,19.052559,109.119201,90.066642,-62.353829,20.78461,93.530744,-57.157677,67.549981,-10.392305,19.052559,-6.928203,-38.105118,77.942286,15.588457,-45.033321,-53.693575,-5.196152,39.837169,-31.176915,102.190998,-24.248711,-72.746134,109.119201,58.889727,69.282032,-145.492268,-161.080725,51.961524,-41.569219,117.779455,69.282032,76.210236,79.674337,-90.066642,8.660254,4
109.119201,-17.320508,-19.052559,-22.51666,-53.693575,50.229473,-15.588457,-12.124356,1.732051,74.478185,46.765372,45.033321,67.549981,15.588457,6.928203,10.392305,168.008928,71.014083,-34.641016,-15.588457,27.712813,3.464102,60.621778,-3.464102,43.30127,-22.51666,-31.176915,19.052559,13.856406,-8.660254,-34.641016,-25.980762,-31.176915,24.248711,67.549981,5.196152,-57.157677,122.975607,34.641016,-12.124356,-25.980762,-45.033321,48.497423,-51.961524,84.87049,48.497423,102.190998,5.196152,-41.569219,-46.765372,9
96.994845,-5.196152,-24.248711,-67.549981,5.196152,10.392305,19.052559,55.425626,19.052559,93.530744,32.908965,15.588457,86.60254,32.908965,32.908965,13.856406,136.832014,84.87049,-12.124356,46.765372,45.033321,-36.373067,-20.78461,1.732051,83.138439,19.052559,-32.908965,45.033321,77.942286,-17.320508,39.837169,-72.746134,22.51666,53.693575,126.439709,17.320508,-41.569219,162.812776,-20.78461,34.641016,-112.583302,-46.765372,22.51666,-103.923048,43.30127,-10.392305,145.492268,-45.033321,-38.105118,-13.856406,2
100.458947,38.105118,-25.980762,-102.190998,-46.765372,55.425626,-8.660254,10.392305,-43.30127,107.38715,64.08588,46.765372,-6.928203,62.353829,38.105118,-32.908965,93.530744,60.621778,76.210236,105.655099,13.856406,-64.08588,29.444864,-24.248711,-8.660254,8.660254,60.621778,36.373067,20.78461,71.014083,32.908965,-5.196152,20.78461,3.464102,48.497423,13.856406,-55.425626,95.262794,-62.353829,34.641016,-121.243557,-3.464102,17.320508,-133.367912,84.87049,36.373067,45.033321,-72.746134,-69.282032,10.392305,1
83.138439,-46.765372,-13.856406,43.30127,-31.176915,29.444864,-46.765372,-71.014083,36.373067,22.51666,57.157677,95.262794,27.712813,48.497423,31.176915,-10.392305,103.923048,86.60254,-90.066642,-17.320508,98.726896,-76.210236,57.157677,-31.176915,17.320508,-20.78461,-8.660254,57.157677,19.052559,-91.798693,-77.942286,12.124356,43.30127,-22.51666,74.478185,1.732051,-48.497423,100.458947,45.033321,29.444864,-91.798693,-114.315353,60.621778,-24.248711,88.334591,41.569219,51.961524,86.60254,-69.282032,15.588457,9
81.406388,-3.464102,-60.621778,45.033321,-13.856406,6.928203,-48.497423,-53.693575,65.817931,19.052559,32.908965,102.190998,46.765372,36.373067,32.908965,1.732051,83.138439,84.87049,-25.980762,15.588457,93.530744,-53.693575,51.961524,1.732051,39.837169,-41.569219,-43.30127,77.942286,6.928203,-46.765372,-60.621778,12.124356,46.765372,-13.856406,96.994845,-6.928203,-25.980762,119.511506,57.157677,34.641016,-131.635861,-102.190998,36.373067,-60.621778,79.674337,72.746134,65.817931,90.066642,-62.353829,39.837169,9
84.87049,-22.51666,-69.282032,-15.588457,-69.282032,-39.837169,-10.392305,15.588457,-8.660254,25.980762,22.51666,93.530744,62.353829,76.210236,-20.78461,-55.425626,140.296115,60.621778,19.052559,96.994845,25.980762,-50.229473,22.51666,27.712813,-1.732051,24.248711,-29.444864,-22.51666,-0,69.282032,3.464102,45.033321,-8.660254,51.961524,17.320508,-1.732051,-29.444864,168.008928,12.124356,-48.497423,-88.334591,-69.282032,50.229473,-98.726896,55.425626,57.157677,88.334591,-24.248711,1.732051,-41.569219,6
46.765372,13.856406,-79.674337,-58.889727,-69.282032,65.817931,-20.78461,-38.105118,100.458947,22.51666,81.406388,95.262794,83.138439,6.928203,-6.928203,5.196152,72.746134,83.138439,20.78461,81.406388,110.851252,-43.30127,62.353829,-8.660254,72.746134,5.196152,-60.621778,126.439709,74.478185,-0,-88.334591,-57.157677,72.746134,3.464102,148.956369,-6.928203,-48.497423,159.348674,57.157677,74.478185,-180.133284,-88.334591,-10.392305,-133.367912,91.798693,88.334591,131.635861,25.980762,-64.08588,13.856406,4
