@relation 'optdigits_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A5-M-1'

@attribute -0.273input3-0.26input59-0.234input11-0.232input10-0.221input4... numeric
@attribute 0.259input6+0.254input15-0.245input61+0.234input7+0.234input14... numeric
@attribute -0.321input44-0.29input45-0.267input36-0.254input37+0.254input39... numeric
@attribute '0.238input62+0.22 input21+0.211input29-0.196input52+0.195input54...' numeric
@attribute '0.28 input50-0.265input56-0.239input63+0.229input42-0.222input16...' numeric
@attribute -0.286input19-0.278input26-0.259input27+0.256input50+0.221input16... numeric
@attribute '0.32 input53+0.273input24+0.233input16-0.215input43+0.197input18...' numeric
@attribute -0.302input13-0.28input22-0.273input52-0.253input53-0.221input12... numeric
@attribute -0.257input51-0.244input16+0.239input2+0.235input64-0.234input8... numeric
@attribute -0.352input41-0.305input49-0.269input33-0.222input6+0.213input2... numeric
@attribute 0.276input33+0.276input41+0.257input17+0.251input25+0.221input24... numeric
@attribute 0.323input17+0.257input25-0.25input60-0.233input56+0.224input62... numeric
@attribute -0.4input48-0.298input17-0.284input25-0.254input56+0.234input37... numeric
@attribute -0.278input28+0.264input17+0.261input46-0.236input27+0.225input25... numeric
@attribute -0.474input33+0.397input57+0.312input32+0.302input49-0.248input41... numeric
@attribute -0.371input25+0.349input5-0.255input17+0.246input32+0.239input10... numeric
@attribute 0.386input57-0.34input32-0.234input5-0.227input56-0.221input24... numeric
@attribute -0.363input37-0.273input46-0.252input22-0.243input38-0.239input30... numeric
@attribute 0.729input9-0.29input25-0.224input58-0.172input2-0.15input12... numeric
@attribute -0.376input9+0.328input8-0.23input12+0.224input16+0.222input26... numeric
@attribute 0.478input57-0.423input32-0.284input52+0.221input61-0.214input7... numeric
@attribute -0.531input48+0.411input64+0.223input35+0.193input63+0.171input34... numeric
@attribute -0.312input33+0.304input5-0.279input57-0.259input32+0.248input61... numeric
@attribute 0.287input29+0.257input34+0.252input26-0.245input46+0.226input61... numeric
@attribute 0.286input7+0.266input15-0.241input5-0.238input8-0.218input58... numeric
@attribute 0.385input17-0.37input49-0.358input25+0.238input5+0.224input57... numeric
@attribute '0.54 input17-0.53input25+0.254input49-0.193input57+0.154input8...' numeric
@attribute '-0.351input24+0.327input32+0.31 input10+0.271input8-0.217input50...' numeric
@attribute '0.363input52-0.358input12+0.243input54+0.22 input53-0.204input10...' numeric
@attribute -0.295input20+0.274input50-0.253input45-0.249input59+0.233input52... numeric
@attribute -0.298input24+0.266input13+0.243input50+0.242input32+0.242input8... numeric
@attribute -0.389input53-0.316input39+0.295input46-0.284input47-0.265input14... numeric
@attribute -0.359input50+0.247input19-0.215input26-0.214input55+0.212input39... numeric
@attribute 0.304input19-0.299input35+0.275input39-0.263input30+0.261input31... numeric
@attribute '-0.354input12+0.3  input13+0.264input7-0.238input20-0.23input31...' numeric
@attribute -0.305input20-0.299input44+0.279input53+0.275input29-0.235input24... numeric
@attribute 0.303input51-0.245input31-0.239input42+0.229input26+0.206input20... numeric
@attribute 0.447input56+0.324input30-0.255input64-0.244input48-0.238input39... numeric
@attribute -0.333input21+0.307input41-0.271input33-0.242input31+0.233input42... numeric
@attribute 0.496input41-0.304input33-0.295input49+0.243input63-0.235input10... numeric
@attribute 0.416input51+0.337input31+0.317input37+0.276input7-0.246input23... numeric
@attribute -0.31input41-0.289input4-0.281input54+0.249input60+0.216input61... numeric
@attribute class {0,1,2,3,4,5,6,7,8,9}

@data
3.399906,7.12389,-0.181912,-2.47488,-4.225186,2.974935,-0.029886,1.275187,-2.361994,0.287453,-0.587111,1.378697,-1.106924,-0.819698,-1.42919,-1.30555,1.344369,-0.057029,1.432059,2.32934,0.536469,2.014986,0.550319,0.158015,-0.180419,-1.220349,0.935033,1.565713,1.636632,-0.177292,1.49669,1.758053,-0.654647,0.707943,-1.735033,1.286967,-1.010323,1.092023,-0.142108,-0.576666,0.413467,0.286597,7
2.916512,0.980885,-2.747463,3.46978,2.226174,-0.765082,-0.474831,0.656498,0.905866,-0.361058,-0.54293,1.595801,0.451046,-0.453672,-0.520256,0.862151,-0.836544,0.072018,-0.432003,1.147171,0.990905,0.758286,-0.586503,0.508068,0.182043,-0.469143,0.521124,0.341529,0.226804,0.189661,-0.195877,-0.869975,0.432829,-0.856288,-0.190449,0.644145,-0.618939,0.262902,-0.042297,-0.272531,-0.473445,-0.07737,1
5.326247,4.545533,1.517195,0.46532,-3.243426,-0.68198,4.030655,1.458623,-0.986484,-0.684172,-1.700697,1.15554,-0.764699,-0.730556,-1.496683,-0.109051,1.609586,-1.716137,-0.009481,1.261607,-0.383141,0.19714,0.563226,1.14133,0.583033,-0.615894,0.529076,0.20336,-0.303485,0.443425,0.105043,0.73142,-0.031184,-0.286859,0.152771,1.019835,0.664804,0.526251,-0.064247,0.585458,0.071208,0.385867,9
-0.528592,0.054278,0.760698,-0.63937,0.096815,-3.369422,2.374158,-0.51603,-0.335951,0.375419,0.265239,-1.637704,-0.055803,-0.139344,0.428549,-0.764515,0.925613,0.458619,0.700728,0.484241,-0.616683,-0.444404,-0.904412,0.223916,-0.427506,0.066835,0.100535,-0.563573,-0.385234,0.317533,-0.509934,0.183623,-0.911413,-0.555742,-0.634957,0.141905,0.161612,-0.629345,0.487313,0.887927,0.384303,1.302355,5
-2.376781,0.550245,0.95812,0.858028,-0.009097,0.247432,-1.02535,1.08237,-0.00132,-0.455168,0.707442,0.357848,1.397118,0.98689,0.072236,1.518409,-0.49653,-1.355725,-0.539259,0.385347,0.281333,-0.418277,-0.250382,-1.096406,0.967888,-0.299873,0.176256,0.82409,-1.465324,-0.45276,-0.144104,-0.969215,-0.315104,-1.15768,-1.123543,0.067441,-0.522243,0.953511,-0.320352,-0.079256,-0.606941,-0.09913,3
0.252021,-1.214056,3.509096,-3.414658,1.04823,-0.549622,0.436502,-1.401907,1.559974,0.655074,-0.439803,-0.037922,0.693823,0.331626,0.13088,-0.048251,-0.380521,-0.234867,0.641127,1.025368,0.243229,-0.537361,-1.24965,-0.862514,-0.466682,0.036446,-0.124543,0.690815,-0.049643,-0.785111,-0.11348,0.134965,0.013045,-1.243701,0.315743,0.416308,0.375933,-0.136184,-0.70077,0.563715,0.873492,0.196287,0
3.584351,1.459084,-0.271863,1.451051,0.026517,-1.825483,0.548449,-0.256902,1.739446,-0.511406,-0.433478,0.712266,0.158978,-1.482843,0.099593,-0.302835,0.378811,0.523306,-0.314142,-0.886339,0.395088,-0.77907,-0.348715,0.439205,-0.896277,-0.464936,0.820163,-0.518364,-0.869381,0.995918,0.975151,-1.532626,0.138524,-0.396803,-0.628016,1.080372,0.597738,0.554939,0.781893,0.034933,1.012537,0.348413,4
1.073715,5.338595,-0.723386,-0.344843,-0.841173,0.439603,-2.04253,-0.821743,0.281731,-0.983937,0.283779,-0.026905,-0.460566,-1.679634,-0.049935,-0.961597,-0.609391,0.948882,0.114995,-1.417529,-0.197363,0.058656,1.085868,-0.363076,0.14982,0.107965,-0.506569,-0.271436,1.035652,-0.033811,-0.403428,0.712482,-0.642787,1.032207,-1.976604,0.122007,-1.284444,0.604288,-0.152121,-0.346622,0.424671,0.423681,7
0.278375,0.23225,2.523979,0.425482,-0.143943,-1.311607,-1.00081,1.257088,-0.604533,-1.141303,0.377119,0.321123,-0.664725,-1.531757,-0.607601,-0.187219,0.251202,-0.032891,0.559677,0.296421,-0.985855,0.006726,-0.108366,-0.605834,-0.634887,0.751321,-0.23068,1.644949,-0.004614,1.472669,-1.243104,-0.226482,1.132896,-0.354416,0.531254,-0.443307,-0.642882,0.340132,-0.360894,0.03192,-0.804751,0.037125,8
5.666641,1.547894,1.056953,2.02615,0.108432,-1.702868,1.283243,0.99482,1.358305,0.715143,-0.213407,0.112938,-1.114889,-1.919081,-1.058416,0.062102,0.415466,-1.003245,-0.693318,-0.519939,0.085504,0.979247,0.980412,-0.026783,1.916606,-0.796689,0.385215,-0.624346,-0.897783,0.489069,0.740552,-0.254439,0.273631,0.296993,-0.524136,0.520318,0.890945,-0.405146,-0.031455,0.194606,0.183377,-0.351713,4
2.341327,5.50288,-0.42519,-1.000476,-2.168883,0.872209,-2.616045,0.117209,0.787044,-0.961277,-0.471577,-0.703809,-0.70335,1.009659,0.246183,0.258883,0.958894,-0.376051,-0.236393,-0.924143,-1.500947,0.259499,0.754426,0.302845,1.592155,-0.31759,-0.07442,0.23018,-0.144864,0.556552,0.064048,-0.533997,0.29698,-0.672396,1.189716,-0.754352,-0.217309,0.178905,0.322741,-0.44444,-0.171605,-0.305492,7
0.439047,0.612317,2.45171,-0.210649,0.051662,-1.054649,-0.701762,0.787433,-0.947594,-0.450278,0.19228,-0.158464,-0.823795,-1.807903,-0.822919,-0.826757,-0.086491,-0.326135,0.456119,0.184607,-0.481905,0.247193,-0.008843,-0.386837,0.246307,0.295457,-0.183454,1.139183,0.31762,1.216283,-1.262318,-0.353475,0.858007,-0.288338,0.667644,0.250548,0.718986,0.050061,-0.000958,0.314863,-0.942449,-0.361598,8
2.152574,0.241945,2.062852,-0.903246,-0.639279,-1.544656,-0.008824,2.133002,1.518516,-0.069364,0.630578,-1.300504,0.27893,0.776319,1.31467,-0.29528,0.417943,0.926843,0.576864,0.399695,0.390467,0.538033,0.155534,0.581649,0.44268,-0.188588,0.271998,-0.28118,-0.025777,1.605373,0.210568,0.122839,1.608642,-0.565583,0.388954,-0.232303,-0.394843,0.67374,-1.027598,0.399635,-0.761313,0.019849,5
1.705733,1.491036,2.630336,2.930054,0.550953,-1.640959,1.677768,0.514282,0.644408,-0.667793,-1.052258,0.571516,-0.934507,-0.402121,-0.3722,-0.30465,1.209502,1.032756,0.620845,0.079176,-1.514282,-0.717322,-1.087264,-0.216946,0.146414,0.483141,-0.099283,0.500204,-1.385094,0.312285,-0.098623,0.362403,1.146461,0.011067,0.512307,-0.720336,0.01994,0.494846,-0.128912,0.218188,-0.077545,0.305533,9
-2.983733,-3.460319,-5.444594,2.604963,-5.486731,0.977644,3.50842,-2.562241,3.477009,-1.302086,-1.912967,-3.475499,0.151454,-1.026164,1.212523,-2.658612,-3.043321,-0.971367,1.08779,0.93931,1.618624,4.754213,0.299214,-1.8889,0.689824,-0.081052,0.763874,1.936471,-1.807071,1.727104,-0.687506,-0.100097,0.526359,0.846456,0.362572,-0.867892,0.10848,-0.690675,0.906961,-0.531136,-0.065366,-0.42388,1
-3.819894,0.153682,-2.367485,1.053069,-2.288689,0.884775,0.95503,-3.904685,1.600207,-0.63611,-0.509675,-0.570727,1.403595,0.931864,0.941851,0.162341,-0.217061,-0.29298,0.01154,0.498603,0.024438,1.093879,0.03377,-0.052471,-0.01102,0.209778,-0.196196,-0.39655,0.063833,-0.103563,0.357312,-0.129681,0.723229,0.357319,0.448785,0.697901,-0.245201,-0.123524,-0.019784,-0.566578,-0.526807,-1.037682,2
0.876817,-2.68736,4.254093,-1.372388,0.033486,-0.458365,-0.788364,-1.100453,-0.059528,0.016232,-0.30819,0.713386,0.31893,0.038424,-0.021773,-0.209252,-0.070516,0.574232,0.069913,0.209843,0.839758,-0.056603,-1.151427,0.09511,-0.236967,-0.859534,0.905322,0.443778,-0.700781,0.371648,0.01662,0.113983,0.364147,-0.20935,0.490687,-0.191043,0.091325,0.374263,0.075608,-0.241537,0.450352,-0.321758,0
0.305029,-3.945482,0.424072,-0.260069,-1.90418,0.377616,-2.063138,2.308961,-0.821703,-0.063488,0.779042,0.358485,0.210982,0.324822,0.243022,0.400851,0.97941,0.297968,-0.449957,-0.886475,-0.168787,0.283306,0.043583,-0.002973,-0.265243,0.09256,0.197859,-0.346081,-0.709104,0.776001,-0.071005,-0.716209,0.442647,0.091271,0.490751,1.172176,0.80113,0.093584,-0.136148,0.13112,0.073748,-0.750415,6
2.439659,1.616377,-1.5024,4.804491,2.090903,-0.927108,0.521005,1.46474,2.007804,-0.773405,-0.748348,1.820131,0.989265,-1.180038,0.069325,-0.199441,-0.458843,0.551252,0.282507,1.331768,0.399559,0.021122,-1.626025,-0.448331,-0.417063,-0.64593,0.372073,-0.163752,0.847725,0.430143,0.344373,-1.219494,-0.207865,-0.379264,-0.058782,0.465413,-0.61808,-0.039317,-0.131294,0.055294,0.13436,-0.106082,1
-0.442168,0.385148,3.125128,-1.097611,1.291225,-0.303318,-0.292476,1.677209,-0.671056,-1.032079,-0.463588,-0.243129,-0.815318,-1.597572,-0.649143,-1.150061,-0.61433,-0.622264,1.111046,1.417835,-1.063138,0.273188,-0.463657,-0.06335,0.573112,1.27788,-0.748598,1.137728,-0.718425,0.109678,-1.51279,-0.838974,0.271004,-0.696728,-0.045592,0.547661,0.308458,-0.034816,-0.549583,0.177034,-0.742266,-0.672205,8
-0.444965,3.250012,-0.839197,-0.347693,0.80078,0.419043,-3.624077,0.153653,0.839485,0.634137,2.254086,-0.305729,-0.029312,-0.990176,0.339192,-0.151696,-0.028344,0.935457,0.730225,1.168684,0.12701,1.231805,-0.350302,-1.180621,-0.279979,0.346279,-0.234112,-0.761656,0.159258,0.201708,0.826505,-0.060255,0.280942,-0.065608,0.203543,0.05896,0.040498,-0.127124,0.093,-0.080254,-0.390021,-0.135784,7
-0.321606,-2.670333,3.954861,-2.43916,0.070259,0.288963,-0.77572,-1.084999,-0.238492,-0.173063,-0.490397,0.46833,0.191542,0.109098,0.186366,-0.473824,-0.310156,0.823909,0.339653,0.501007,0.59976,0.004491,-0.727897,-0.037761,0.1561,-0.674727,0.377907,-0.012536,0.329357,0.308468,0.013344,-0.497848,-0.11463,0.343462,0.310531,0.229203,0.018776,0.012115,0.200916,-0.122727,0.541992,-0.229179,0
1.46634,5.141676,0.376622,-0.242188,-0.564154,0.302668,-1.446563,-0.807502,0.971112,-0.601526,0.279113,-0.90219,-0.089883,-1.124571,0.342217,-0.878204,-0.975368,0.231427,0.166127,-0.90857,0.081366,0.129085,0.989608,-0.795371,-0.570759,0.188952,-0.601383,-0.434155,1.994054,-0.523055,0.240021,0.223452,-1.232737,0.178437,-0.821203,1.00547,-0.934768,0.063706,0.111285,-0.252032,1.075,0.388427,7
-0.2295,-4.294807,0.66977,-1.833363,-2.033705,0.07688,-1.342936,2.241856,0.089182,-1.110858,0.492782,0.883758,1.365921,0.771848,0.579329,0.650183,0.384468,-0.088521,-0.439919,-0.041647,0.14862,-0.028357,-0.011833,0.475423,0.005583,-0.023878,0.067929,-0.213664,-0.496984,-0.069357,-0.716417,0.252137,-0.171808,0.228531,-0.294159,0.412181,0.16669,0.059018,-0.702981,0.455012,-0.116873,-0.35136,6
6.349272,2.433076,1.240649,0.49448,-1.649219,-1.017721,2.797768,1.475196,0.537405,-0.33196,-1.824921,1.203094,-0.320894,-0.841319,-1.456066,0.395213,0.643463,-1.829383,-1.059002,0.242883,0.250245,0.73337,0.09207,0.652291,2.193791,-1.351781,0.53654,-1.120681,-0.850931,-0.090132,-0.199976,0.407907,0.047372,-0.784197,0.219759,0.808817,1.145386,0.2589,0.220307,0.197969,-0.873628,-0.389111,9
2.459033,1.102851,-0.828695,5.126077,1.606846,-1.959621,2.093998,1.433532,2.223693,-1.27995,-1.228404,1.707595,0.431802,-1.091042,-0.197797,0.336585,-0.026722,0.24986,-0.068972,1.719018,-0.303228,0.593286,-1.214744,0.475972,-0.542866,-0.309515,-0.020883,-0.619663,1.530943,0.064457,0.353041,-0.608629,-0.228491,-0.303633,-0.163787,-0.536949,0.194367,-0.258276,-0.566916,0.732561,0.504194,0.157669,1
2.426194,4.918511,-0.688462,-1.875756,-2.913356,-1.055182,1.556755,1.112101,-0.955053,-1.186905,-0.552353,-0.60511,-0.621373,-1.495626,-0.625916,-1.59448,0.291013,-0.024406,0.402823,-0.203468,-0.114845,0.261344,0.92997,1.615214,0.233721,-0.004673,-0.455585,-0.121822,1.832208,-0.931429,-1.948817,0.59839,-0.775539,0.717077,0.713674,0.370286,0.410244,-0.326464,-0.437969,-0.179039,-0.830151,-1.173518,9
-1.268536,-0.633465,1.351643,1.853084,2.525727,1.110075,0.408526,0.480281,-1.519764,0.900828,-0.122258,-1.033553,-0.890214,-0.122787,0.778158,-1.698619,0.068447,0.4615,1.172977,0.955012,-0.454314,0.289214,0.233986,0.077509,0.025906,0.54743,-0.390184,-1.302981,-0.059287,1.596086,1.149552,-0.052953,-1.299625,-0.719336,0.54506,0.161992,-0.054608,0.251769,-0.35516,-0.233695,-0.416826,-0.331858,3
6.154175,5.047069,0.922822,0.359432,-3.988319,2.200624,4.388516,1.349782,-2.250733,1.087485,-1.043479,1.217071,-0.670807,-1.005234,-1.11069,-1.368707,0.880021,0.093521,0.808539,0.194618,0.844865,-0.469635,0.160245,-0.253252,-0.731661,0.30816,0.074541,-0.050758,-0.576775,0.301777,-0.420589,-0.403254,0.382499,-0.661942,0.040651,1.392419,0.307255,0.12001,0.45168,0.487805,-0.79465,0.732603,9
5.874065,2.812396,2.542803,2.526185,-1.979984,0.45215,4.086536,1.367373,-0.614862,0.812597,-1.727197,1.188167,-1.697214,-1.55451,-1.718924,-1.188579,1.4948,-0.393779,0.376573,-0.208816,-0.581266,0.416492,1.063945,-0.116826,1.795161,-0.588176,-0.178128,-0.008497,0.439499,0.024759,0.303448,1.630943,0.272217,0.892876,-0.436703,0.29526,0.606652,-0.053648,-0.161002,0.146622,0.124909,0.061457,4
-1.523425,0.008972,4.13527,1.633088,-0.584,0.852271,-1.227171,-0.293925,-0.416983,0.006404,1.009311,0.540114,0.09467,-1.865134,-0.216699,-1.330528,0.044813,0.700007,0.292699,-0.617804,0.554012,0.016954,0.017696,0.058885,-0.399754,-0.347776,0.359936,0.023724,0.367839,-0.565073,0.616564,-0.725281,0.202833,1.102981,0.757695,0.522236,0.004872,0.15,0.895351,-0.515909,0.414954,0.269077,9
-2.825616,0.426234,-0.260054,-0.136151,-2.363467,-0.436504,0.782337,-2.826302,1.994516,-2.096189,-0.200708,0.95834,1.557312,-0.072822,0.551876,0.758537,0.155882,0.023824,-0.243365,0.223566,-0.069109,0.042182,0.584665,0.499312,-1.486482,0.560064,-0.07115,-0.104373,0.145304,-0.788341,1.001183,-0.240976,0.21633,-1.060438,0.606724,-0.317578,-0.634792,-1.340277,0.11398,-0.105945,0.416979,-0.153426,2
-3.454236,-2.906704,-5.458709,3.738359,-5.500004,1.933896,2.950811,-2.841869,3.223575,-0.992776,-1.621516,-4.05136,-0.752778,0.025455,1.286887,-2.081127,-3.217451,-1.138561,1.129049,1.124992,1.323195,3.004067,-0.034271,-1.52803,0.838428,-0.180056,0.323146,1.711329,-1.405458,2.460109,-2.08453,0.546115,-0.958254,1.542199,-0.683235,-0.052932,0.668768,1.601264,0.379778,-0.565596,0.11324,0.251296,1
4.109234,3.393058,1.87873,1.665449,-1.228649,-0.227399,1.848969,1.133058,0.506566,-0.708671,-1.888231,-0.24591,-0.951757,-1.24767,-0.226099,-2.205866,0.624528,0.747367,0.604445,-2.21755,-1.149265,-1.048772,0.603697,-0.01699,1.3385,0.037534,-0.444666,0.25117,-0.357664,0.373407,-0.35325,1.159988,0.975483,-0.190238,0.906124,1.49471,-0.088975,0.705261,-0.337627,0.307256,-0.246826,0.19761,9
5.048849,2.568178,1.177718,1.519258,-1.539096,-0.130318,1.575996,2.246247,0.851697,-0.811549,-2.204292,1.065255,-0.708242,-1.104594,-0.796161,-1.235938,1.176714,0.132944,0.001698,-1.170238,-1.078054,0.006542,-0.450121,-0.232742,1.75564,-0.91785,0.172208,-0.550356,-0.904829,0.335036,0.001502,1.132959,0.339,-1.335078,0.904843,0.636513,0.371488,0.755709,0.3186,-0.086982,-1.208779,-0.3372,9
