@relation optdigits-weka.filters.supervised.attribute.NominalToBinary-weka.filters.unsupervised.attribute.RandomProjection-N10-R42-DSparse1

@attribute K1 numeric
@attribute K2 numeric
@attribute K3 numeric
@attribute K4 numeric
@attribute K5 numeric
@attribute K6 numeric
@attribute K7 numeric
@attribute K8 numeric
@attribute K9 numeric
@attribute K10 numeric
@attribute class {0,1,2,3,4,5,6,7,8,9}

@data
50.229473,-5.196152,20.78461,12.124356,58.889727,39.837169,-20.78461,22.51666,31.176915,15.588457,7
90.066642,-0,-20.78461,-8.660254,-43.30127,31.176915,-3.464102,-15.588457,5.196152,36.373067,8
84.87049,-13.856406,-95.262794,-27.712813,-53.693575,25.980762,-38.105118,3.464102,31.176915,-20.78461,5
93.530744,-6.928203,-27.712813,3.464102,-60.621778,43.30127,-19.052559,-34.641016,41.569219,50.229473,9
109.119201,25.980762,-50.229473,-84.87049,-65.817931,27.712813,-17.320508,5.196152,-36.373067,105.655099,1
109.119201,32.908965,0,-119.511506,10.392305,62.353829,-10.392305,53.693575,-8.660254,88.334591,2
83.138439,-15.588457,-53.693575,-15.588457,-55.425626,-17.320508,0,17.320508,39.837169,1.732051,0
65.817931,-27.712813,-72.746134,-58.889727,-72.746134,-36.373067,6.928203,27.712813,-24.248711,31.176915,6
39.837169,41.569219,-8.660254,-67.549981,-32.908965,102.190998,-22.51666,-38.105118,60.621778,38.105118,1
90.066642,-29.444864,-22.51666,-6.928203,-57.157677,27.712813,-8.660254,-5.196152,15.588457,34.641016,8
36.373067,24.248711,17.320508,-38.105118,-8.660254,95.262794,-8.660254,57.157677,-5.196152,13.856406,7
93.530744,-17.320508,-60.621778,-25.980762,-65.817931,-17.320508,19.052559,19.052559,5.196152,5.196152,0
60.621778,-22.51666,38.105118,-22.51666,8.660254,76.210236,-48.497423,1.732051,19.052559,5.196152,7
83.138439,-24.248711,-81.406388,-65.817931,-51.961524,-36.373067,34.641016,32.908965,-22.51666,45.033321,6
91.798693,-3.464102,-110.851252,5.196152,-41.569219,34.641016,-38.105118,-46.765372,84.87049,-6.928203,9
72.746134,36.373067,-31.176915,-76.210236,-50.229473,72.746134,-27.712813,-24.248711,88.334591,81.406388,1
84.87049,-43.30127,-31.176915,-24.248711,-6.928203,57.157677,15.588457,0,-3.464102,25.980762,9
88.334591,13.856406,-25.980762,-36.373067,-76.210236,32.908965,-12.124356,6.928203,-25.980762,32.908965,3
69.282032,-41.569219,-43.30127,34.641016,-24.248711,38.105118,-45.033321,-83.138439,41.569219,-3.464102,9
116.047404,-24.248711,-50.229473,34.641016,-96.994845,19.052559,-71.014083,-57.157677,62.353829,38.105118,4
109.119201,-17.320508,-19.052559,-22.51666,-53.693575,50.229473,-15.588457,-12.124356,1.732051,74.478185,9
96.994845,-5.196152,-24.248711,-67.549981,5.196152,10.392305,19.052559,55.425626,19.052559,93.530744,2
100.458947,38.105118,-25.980762,-102.190998,-46.765372,55.425626,-8.660254,10.392305,-43.30127,107.38715,1
83.138439,-46.765372,-13.856406,43.30127,-31.176915,29.444864,-46.765372,-71.014083,36.373067,22.51666,9
81.406388,-3.464102,-60.621778,45.033321,-13.856406,6.928203,-48.497423,-53.693575,65.817931,19.052559,9
84.87049,-22.51666,-69.282032,-15.588457,-69.282032,-39.837169,-10.392305,15.588457,-8.660254,25.980762,6
46.765372,13.856406,-79.674337,-58.889727,-69.282032,65.817931,-20.78461,-38.105118,100.458947,22.51666,4
88.334591,-1.732051,-12.124356,-38.105118,-60.621778,60.621778,0,6.928203,-15.588457,43.30127,3
96.994845,27.712813,-24.248711,-77.942286,-19.052559,13.856406,36.373067,86.60254,-32.908965,129.903811,2
79.674337,-13.856406,-25.980762,-15.588457,-81.406388,31.176915,-3.464102,17.320508,-5.196152,32.908965,8
119.511506,17.320508,-34.641016,-102.190998,-31.176915,25.980762,20.78461,60.621778,-22.51666,122.975607,2
43.30127,-13.856406,3.464102,17.320508,25.980762,65.817931,-32.908965,-20.78461,22.51666,-12.124356,7
22.51666,15.588457,-20.78461,-88.334591,-51.961524,76.210236,19.052559,-27.712813,36.373067,46.765372,1
84.87049,-1.732051,-79.674337,-32.908965,-57.157677,31.176915,-53.693575,-24.248711,67.549981,-27.712813,4
86.60254,-8.660254,-60.621778,-51.961524,-60.621778,-62.353829,19.052559,39.837169,-24.248711,62.353829,6
119.511506,13.856406,-58.889727,-98.726896,-24.248711,38.105118,10.392305,76.210236,1.732051,103.923048,2
84.87049,3.464102,-48.497423,-17.320508,-45.033321,-13.856406,6.928203,20.78461,38.105118,-15.588457,0
43.30127,-15.588457,-43.30127,-22.51666,-48.497423,51.961524,-34.641016,-41.569219,67.549981,1.732051,4
67.549981,-50.229473,-60.621778,-48.497423,-90.066642,-25.980762,13.856406,24.248711,-46.765372,31.176915,6
103.923048,-0,22.51666,-34.641016,-17.320508,41.569219,-34.641016,20.78461,31.176915,71.014083,3
32.908965,-3.464102,5.196152,-32.908965,20.78461,55.425626,-15.588457,10.392305,22.51666,13.856406,7
29.444864,19.052559,-20.78461,-86.60254,-48.497423,91.798693,5.196152,-20.78461,39.837169,51.961524,1
96.994845,-38.105118,-71.014083,-25.980762,-55.425626,1.732051,5.196152,-10.392305,36.373067,-20.78461,0
91.798693,24.248711,12.124356,-71.014083,19.052559,12.124356,-5.196152,10.392305,15.588457,41.569219,2
105.655099,51.961524,-13.856406,-103.923048,10.392305,20.78461,20.78461,71.014083,-15.588457,110.851252,2
126.439709,-10.392305,-25.980762,-51.961524,-76.210236,-3.464102,-3.464102,20.78461,20.78461,-1.732051,5
98.726896,36.373067,-13.856406,-112.583302,3.464102,83.138439,0,64.08588,-32.908965,39.837169,2
22.51666,-0,-41.569219,-29.444864,-103.923048,-45.033321,-13.856406,-29.444864,69.282032,-5.196152,4
116.047404,-19.052559,-1.732051,-64.08588,-19.052559,27.712813,-13.856406,12.124356,1.732051,117.779455,8
100.458947,24.248711,-27.712813,-81.406388,-74.478185,65.817931,-29.444864,-29.444864,74.478185,74.478185,1
46.765372,-12.124356,15.588457,0,36.373067,77.942286,-15.588457,13.856406,6.928203,15.588457,7
107.38715,-6.928203,19.052559,-25.980762,13.856406,83.138439,-43.30127,15.588457,36.373067,58.889727,3
74.478185,-20.78461,-55.425626,-25.980762,-69.282032,-12.124356,19.052559,-3.464102,15.588457,10.392305,0
103.923048,24.248711,-0,-72.746134,12.124356,84.87049,-25.980762,31.176915,25.980762,93.530744,3
93.530744,34.641016,-1.732051,-50.229473,24.248711,45.033321,-58.889727,0,36.373067,67.549981,3
27.712813,17.320508,15.588457,-43.30127,22.51666,77.942286,-10.392305,48.497423,24.248711,38.105118,7
34.641016,13.856406,12.124356,-34.641016,-15.588457,81.406388,-1.732051,76.210236,3.464102,22.51666,7
72.746134,-17.320508,-25.980762,10.392305,-1.732051,65.817931,-22.51666,-46.765372,29.444864,5.196152,9
76.210236,32.908965,-31.176915,-71.014083,-57.157677,60.621778,-17.320508,-46.765372,58.889727,48.497423,1
96.994845,17.320508,-6.928203,-39.837169,-20.78461,62.353829,-34.641016,19.052559,15.588457,53.693575,3
86.60254,-3.464102,31.176915,-41.569219,34.641016,88.334591,-48.497423,20.78461,50.229473,51.961524,3
45.033321,-10.392305,-58.889727,-34.641016,-135.099963,-55.425626,-13.856406,-29.444864,69.282032,6.928203,4
110.851252,1.732051,31.176915,-46.765372,3.464102,91.798693,-38.105118,38.105118,45.033321,55.425626,3
38.105118,-15.588457,-64.08588,-55.425626,-121.243557,-38.105118,-1.732051,-19.052559,65.817931,-1.732051,4
57.157677,34.641016,-15.588457,-81.406388,10.392305,-24.248711,43.30127,72.746134,-36.373067,88.334591,2
112.583302,-5.196152,-32.908965,-43.30127,12.124356,20.78461,-3.464102,22.51666,15.588457,105.655099,8
79.674337,-6.928203,-48.497423,-67.549981,-31.176915,50.229473,32.908965,29.444864,6.928203,65.817931,8
62.353829,-25.980762,-6.928203,-12.124356,22.51666,74.478185,-13.856406,0,1.732051,20.78461,9
105.655099,-0,-34.641016,-34.641016,-15.588457,27.712813,-13.856406,-12.124356,15.588457,90.066642,8
46.765372,-13.856406,-50.229473,-24.248711,-60.621778,-53.693575,-12.124356,-27.712813,100.458947,-3.464102,4
58.889727,0,27.712813,-17.320508,24.248711,57.157677,-32.908965,41.569219,36.373067,43.30127,7
71.014083,31.176915,-8.660254,-83.138439,-46.765372,46.765372,5.196152,-3.464102,25.980762,48.497423,1
67.549981,-31.176915,-39.837169,-55.425626,-100.458947,-38.105118,13.856406,19.052559,-38.105118,65.817931,6
62.353829,-13.856406,-53.693575,-53.693575,-13.856406,71.014083,-6.928203,-1.732051,31.176915,8.660254,9
22.51666,-3.464102,-5.196152,-34.641016,-112.583302,-69.282032,-13.856406,-25.980762,69.282032,-1.732051,4
65.817931,-41.569219,-53.693575,-32.908965,-81.406388,-5.196152,13.856406,-6.928203,0,6.928203,0
77.942286,10.392305,-31.176915,-83.138439,-76.210236,76.210236,-17.320508,-27.712813,67.549981,53.693575,1
93.530744,10.392305,32.908965,-43.30127,-24.248711,81.406388,-41.569219,-6.928203,13.856406,32.908965,3
76.210236,-20.78461,-79.674337,-67.549981,-71.014083,-38.105118,19.052559,34.641016,-3.464102,43.30127,6
90.066642,29.444864,-57.157677,-98.726896,-24.248711,45.033321,32.908965,50.229473,-25.980762,62.353829,2
43.30127,3.464102,-57.157677,-55.425626,-100.458947,-65.817931,-15.588457,-13.856406,71.014083,13.856406,4
62.353829,8.660254,38.105118,-19.052559,19.052559,86.60254,-22.51666,48.497423,34.641016,32.908965,7
48.497423,-1.732051,-74.478185,-46.765372,-105.655099,-20.78461,-20.78461,-17.320508,65.817931,-39.837169,4
81.406388,-10.392305,-57.157677,-29.444864,-81.406388,-25.980762,19.052559,13.856406,5.196152,10.392305,0
84.87049,48.497423,-12.124356,-95.262794,10.392305,10.392305,36.373067,79.674337,-32.908965,117.779455,2
121.243557,-24.248711,-25.980762,-43.30127,-3.464102,41.569219,-5.196152,32.908965,19.052559,103.923048,8
131.635861,-29.444864,-57.157677,-38.105118,-79.674337,29.444864,-77.942286,27.712813,32.908965,-6.928203,5
116.047404,15.588457,-29.444864,-83.138439,-83.138439,76.210236,-36.373067,-10.392305,81.406388,58.889727,1
112.583302,-25.980762,-55.425626,-43.30127,-96.994845,12.124356,25.980762,5.196152,13.856406,31.176915,0
77.942286,43.30127,-19.052559,-57.157677,-48.497423,67.549981,-31.176915,-55.425626,79.674337,65.817931,1
77.942286,-8.660254,-34.641016,-25.980762,-24.248711,95.262794,-38.105118,-22.51666,48.497423,3.464102,9
83.138439,-31.176915,-65.817931,-72.746134,-93.530744,-32.908965,13.856406,43.30127,-22.51666,72.746134,6
72.746134,-10.392305,-64.08588,-24.248711,-13.856406,57.157677,-41.569219,-36.373067,43.30127,-10.392305,9
81.406388,-51.961524,-64.08588,-62.353829,-84.87049,-50.229473,24.248711,34.641016,-27.712813,76.210236,6
71.014083,8.660254,-53.693575,-50.229473,15.588457,64.08588,-8.660254,15.588457,36.373067,-8.660254,9
109.119201,-62.353829,-57.157677,-13.856406,-39.837169,39.837169,-50.229473,17.320508,17.320508,8.660254,5
69.282032,-1.732051,-67.549981,-32.908965,-51.961524,19.052559,-22.51666,-36.373067,76.210236,-15.588457,4
126.439709,-48.497423,-55.425626,-10.392305,-53.693575,43.30127,-48.497423,10.392305,20.78461,3.464102,5
84.87049,3.464102,-69.282032,-17.320508,-22.51666,57.157677,-32.908965,-41.569219,57.157677,12.124356,9
131.635861,-38.105118,-58.889727,-17.320508,-83.138439,32.908965,-69.282032,20.78461,5.196152,29.444864,5
57.157677,15.588457,29.444864,-17.320508,-3.464102,95.262794,-19.052559,43.30127,3.464102,13.856406,7
58.889727,38.105118,6.928203,-86.60254,-41.569219,77.942286,-31.176915,-43.30127,60.621778,62.353829,1
88.334591,22.51666,0,-64.08588,-3.464102,72.746134,-41.569219,13.856406,10.392305,41.569219,3
32.908965,19.052559,20.78461,-29.444864,24.248711,83.138439,-10.392305,31.176915,13.856406,17.320508,7
76.210236,-17.320508,-60.621778,-19.052559,-53.693575,-27.712813,-1.732051,-3.464102,43.30127,1.732051,0
110.851252,31.176915,-25.980762,-39.837169,5.196152,-8.660254,5.196152,13.856406,32.908965,72.746134,2
81.406388,-34.641016,-46.765372,-32.908965,-93.530744,-3.464102,13.856406,13.856406,10.392305,13.856406,0
53.693575,8.660254,-53.693575,-17.320508,-93.530744,5.196152,-24.248711,-36.373067,67.549981,-10.392305,4
110.851252,-15.588457,-31.176915,-64.08588,-24.248711,69.282032,20.78461,15.588457,-3.464102,128.17176,8
93.530744,19.052559,-22.51666,-79.674337,0,36.373067,13.856406,67.549981,-10.392305,79.674337,2
95.262794,10.392305,22.51666,-41.569219,43.30127,74.478185,-50.229473,17.320508,55.425626,34.641016,3
46.765372,-60.621778,-29.444864,-39.837169,-36.373067,95.262794,6.928203,25.980762,-22.51666,6.928203,5
119.511506,5.196152,-8.660254,-72.746134,-32.908965,65.817931,20.78461,38.105118,-6.928203,107.38715,3
100.458947,39.837169,-57.157677,-46.765372,-45.033321,34.641016,0,65.817931,31.176915,58.889727,3
51.961524,-19.052559,-74.478185,-34.641016,-112.583302,-43.30127,-24.248711,-36.373067,81.406388,-27.712813,4
88.334591,-15.588457,-76.210236,-53.693575,-24.248711,62.353829,8.660254,48.497423,15.588457,27.712813,5
50.229473,8.660254,-72.746134,-43.30127,-29.444864,-34.641016,5.196152,48.497423,-5.196152,-1.732051,8
81.406388,-19.052559,-32.908965,-13.856406,-34.641016,45.033321,-13.856406,-20.78461,-8.660254,88.334591,9
95.262794,-27.712813,6.928203,-45.033321,-109.119201,-51.961524,39.837169,12.124356,-29.444864,90.066642,6
51.961524,25.980762,-27.712813,-84.87049,-55.425626,38.105118,43.30127,-17.320508,3.464102,53.693575,1
77.942286,45.033321,-12.124356,-79.674337,-1.732051,13.856406,25.980762,77.942286,-34.641016,81.406388,2
110.851252,12.124356,-50.229473,-39.837169,-74.478185,-29.444864,20.78461,10.392305,19.052559,12.124356,0
95.262794,-29.444864,-60.621778,-34.641016,-62.353829,-20.78461,8.660254,6.928203,31.176915,-0,0
84.87049,-17.320508,-48.497423,-45.033321,-69.282032,-71.014083,38.105118,24.248711,8.660254,69.282032,6
77.942286,19.052559,-12.124356,-98.726896,10.392305,39.837169,36.373067,74.478185,-22.51666,96.994845,2
67.549981,12.124356,27.712813,10.392305,39.837169,38.105118,-32.908965,38.105118,50.229473,19.052559,7
58.889727,-36.373067,-15.588457,-51.961524,-86.60254,-67.549981,50.229473,10.392305,-31.176915,96.994845,6
25.980762,-41.569219,-76.210236,-29.444864,-121.243557,-74.478185,27.712813,-36.373067,57.157677,-12.124356,4
67.549981,-45.033321,-17.320508,-55.425626,-96.994845,-55.425626,38.105118,3.464102,-24.248711,60.621778,6
41.569219,-29.444864,-71.014083,-55.425626,-86.60254,-24.248711,74.478185,38.105118,-55.425626,41.569219,1
19.052559,-6.928203,-36.373067,-79.674337,-58.889727,31.176915,71.014083,36.373067,-34.641016,46.765372,1
34.641016,-19.052559,-34.641016,-34.641016,-88.334591,-53.693575,-12.124356,-22.51666,84.87049,-12.124356,4
96.994845,-22.51666,-84.87049,-58.889727,-29.444864,50.229473,0,74.478185,15.588457,-6.928203,5
86.60254,27.712813,10.392305,-79.674337,17.320508,19.052559,-12.124356,-1.732051,15.588457,48.497423,2
95.262794,34.641016,-31.176915,-41.569219,-55.425626,-32.908965,-12.124356,17.320508,-6.928203,74.478185,8
-1.732051,29.444864,-19.052559,-91.798693,-39.837169,-6.928203,34.641016,-13.856406,6.928203,8.660254,8
88.334591,-20.78461,-19.052559,-22.51666,-69.282032,32.908965,-10.392305,-19.052559,-5.196152,72.746134,9
112.583302,27.712813,1.732051,-45.033321,41.569219,45.033321,-31.176915,51.961524,58.889727,93.530744,3
95.262794,5.196152,-24.248711,-34.641016,-131.635861,-10.392305,39.837169,-29.444864,-15.588457,0,0
48.497423,-1.732051,-76.210236,-50.229473,-38.105118,-57.157677,17.320508,83.138439,17.320508,-10.392305,8
39.837169,-27.712813,-77.942286,-39.837169,-114.315353,-74.478185,22.51666,-29.444864,69.282032,-8.660254,4
45.033321,24.248711,20.78461,-57.157677,6.928203,36.373067,-1.732051,100.458947,55.425626,50.229473,7
65.817931,-34.641016,-5.196152,-60.621778,-81.406388,-53.693575,38.105118,13.856406,-29.444864,69.282032,6
95.262794,31.176915,20.78461,-55.425626,31.176915,3.464102,-24.248711,-5.196152,36.373067,31.176915,2
86.60254,24.248711,-5.196152,-93.530744,3.464102,20.78461,20.78461,58.889727,-12.124356,50.229473,2
39.837169,-25.980762,-79.674337,-43.30127,-96.994845,-71.014083,20.78461,-36.373067,64.08588,-6.928203,4
88.334591,-38.105118,-20.78461,-50.229473,-100.458947,-86.60254,46.765372,-6.928203,-1.732051,95.262794,6
41.569219,-38.105118,-79.674337,-15.588457,-100.458947,-84.87049,24.248711,-39.837169,57.157677,8.660254,4
39.837169,-8.660254,0,-25.980762,-126.439709,-51.961524,34.641016,-36.373067,32.908965,12.124356,4
48.497423,20.78461,-69.282032,-67.549981,-55.425626,-25.980762,8.660254,10.392305,-15.588457,19.052559,8
55.425626,3.464102,-27.712813,-58.889727,-12.124356,-5.196152,58.889727,79.674337,-45.033321,79.674337,2
29.444864,38.105118,20.78461,-88.334591,-5.196152,50.229473,48.497423,12.124356,19.052559,65.817931,1
57.157677,25.980762,0,-74.478185,8.660254,20.78461,39.837169,50.229473,-45.033321,91.798693,2
100.458947,8.660254,-8.660254,-39.837169,6.928203,39.837169,-36.373067,53.693575,39.837169,93.530744,3
91.798693,41.569219,-1.732051,-100.458947,-12.124356,60.621778,3.464102,17.320508,-55.425626,69.282032,2
90.066642,-34.641016,-31.176915,-93.530744,-53.693575,43.30127,-10.392305,55.425626,15.588457,38.105118,5
32.908965,8.660254,43.30127,-12.124356,38.105118,-17.320508,19.052559,20.78461,53.693575,53.693575,7
136.832014,-13.856406,-25.980762,-51.961524,-76.210236,22.51666,-32.908965,51.961524,20.78461,109.119201,9
122.975607,5.196152,-43.30127,-38.105118,-48.497423,67.549981,-27.712813,20.78461,15.588457,81.406388,9
103.923048,-34.641016,-57.157677,-41.569219,-25.980762,57.157677,-12.124356,53.693575,-8.660254,25.980762,5
25.980762,19.052559,3.464102,-98.726896,-39.837169,20.78461,55.425626,32.908965,-15.588457,43.30127,1
90.066642,10.392305,5.196152,-41.569219,8.660254,65.817931,-19.052559,50.229473,43.30127,84.87049,3
109.119201,0,-22.51666,-12.124356,-55.425626,10.392305,3.464102,25.980762,17.320508,65.817931,9
81.406388,32.908965,-6.928203,-90.066642,12.124356,22.51666,39.837169,81.406388,-24.248711,83.138439,2
128.17176,-6.928203,-122.975607,-57.157677,-45.033321,29.444864,-31.176915,57.157677,39.837169,19.052559,5
95.262794,-8.660254,-50.229473,-83.138439,-119.511506,13.856406,1.732051,-13.856406,-58.889727,29.444864,0
29.444864,8.660254,-12.124356,-19.052559,-121.243557,-13.856406,32.908965,-38.105118,22.51666,19.052559,4
50.229473,13.856406,36.373067,-39.837169,29.444864,50.229473,-19.052559,57.157677,58.889727,41.569219,7
110.851252,-43.30127,-38.105118,-57.157677,-60.621778,24.248711,-50.229473,34.641016,6.928203,25.980762,5
74.478185,13.856406,-43.30127,-62.353829,-62.353829,-8.660254,-1.732051,32.908965,-12.124356,51.961524,8
31.176915,-34.641016,-38.105118,-96.994845,-62.353829,51.961524,79.674337,27.712813,-20.78461,45.033321,1
91.798693,20.78461,-39.837169,-48.497423,-93.530744,-22.51666,41.569219,-32.908965,19.052559,17.320508,0
90.066642,25.980762,-29.444864,-72.746134,-13.856406,-12.124356,51.961524,91.798693,-39.837169,112.583302,2
46.765372,-34.641016,-65.817931,-32.908965,-135.099963,-55.425626,10.392305,-34.641016,72.746134,-17.320508,4
62.353829,13.856406,-13.856406,-72.746134,-15.588457,-6.928203,48.497423,77.942286,-41.569219,102.190998,2
83.138439,24.248711,-43.30127,-32.908965,-55.425626,10.392305,36.373067,-25.980762,8.660254,34.641016,0
79.674337,3.464102,-48.497423,-67.549981,-38.105118,3.464102,-1.732051,10.392305,-3.464102,55.425626,8
12.124356,-12.124356,-5.196152,-41.569219,-96.994845,-67.549981,36.373067,-20.78461,38.105118,6.928203,4
90.066642,-12.124356,-84.87049,-58.889727,-27.712813,-3.464102,24.248711,39.837169,1.732051,19.052559,5
57.157677,-6.928203,3.464102,10.392305,57.157677,51.961524,-34.641016,3.464102,45.033321,-8.660254,7
51.961524,60.621778,25.980762,-34.641016,43.30127,48.497423,8.660254,25.980762,38.105118,50.229473,7
84.87049,19.052559,-72.746134,12.124356,-19.052559,5.196152,-43.30127,-24.248711,90.066642,-1.732051,9
39.837169,-6.928203,-15.588457,12.124356,36.373067,62.353829,-3.464102,0,39.837169,-12.124356,7
72.746134,32.908965,-31.176915,-46.765372,-57.157677,-72.746134,43.30127,1.732051,-79.674337,58.889727,2
76.210236,20.78461,-34.641016,-79.674337,-55.425626,50.229473,-5.196152,-12.124356,58.889727,76.210236,1
77.942286,-5.196152,-24.248711,-1.732051,39.837169,43.30127,-34.641016,-12.124356,79.674337,12.124356,7
31.176915,8.660254,-3.464102,6.928203,53.693575,58.889727,-5.196152,20.78461,45.033321,6.928203,7
32.908965,22.51666,-29.444864,-34.641016,-124.707658,-32.908965,6.928203,-25.980762,57.157677,15.588457,4
43.30127,0,-27.712813,-88.334591,-88.334591,79.674337,-3.464102,-32.908965,48.497423,32.908965,1
60.621778,-1.732051,-88.334591,-50.229473,-24.248711,34.641016,-22.51666,-13.856406,76.210236,24.248711,9
84.87049,19.052559,-24.248711,-71.014083,-55.425626,-31.176915,36.373067,31.176915,-77.942286,51.961524,2
93.530744,-13.856406,-69.282032,-41.569219,-46.765372,-55.425626,60.621778,-8.660254,5.196152,84.87049,6
57.157677,15.588457,-76.210236,-71.014083,-45.033321,53.693575,-12.124356,5.196152,67.549981,27.712813,9
60.621778,0,-64.08588,-62.353829,-51.961524,-62.353829,32.908965,45.033321,-3.464102,77.942286,6
58.889727,-20.78461,-8.660254,-22.51666,-64.08588,71.014083,-32.908965,-46.765372,46.765372,34.641016,9
60.621778,-24.248711,-48.497423,-45.033321,-84.87049,-46.765372,8.660254,-17.320508,48.497423,-22.51666,4
98.726896,6.928203,-17.320508,27.712813,-32.908965,32.908965,-71.014083,-43.30127,62.353829,58.889727,9
72.746134,-5.196152,-36.373067,-24.248711,-43.30127,-12.124356,0,1.732051,69.282032,-19.052559,0
93.530744,-19.052559,-77.942286,-25.980762,-17.320508,45.033321,-27.712813,53.693575,20.78461,8.660254,5
45.033321,-6.928203,5.196152,5.196152,15.588457,93.530744,-15.588457,12.124356,8.660254,8.660254,7
81.406388,22.51666,-20.78461,-58.889727,8.660254,58.889727,-25.980762,55.425626,43.30127,51.961524,3
77.942286,12.124356,-53.693575,-50.229473,-22.51666,43.30127,43.30127,51.961524,-22.51666,117.779455,8
45.033321,19.052559,-12.124356,-19.052559,-128.17176,-36.373067,45.033321,-43.30127,8.660254,20.78461,4
84.87049,-45.033321,-60.621778,-27.712813,-84.87049,-8.660254,22.51666,-12.124356,5.196152,20.78461,0
105.655099,10.392305,-29.444864,-43.30127,-41.569219,50.229473,-19.052559,53.693575,1.732051,74.478185,3
62.353829,41.569219,12.124356,-24.248711,-45.033321,71.014083,-36.373067,-65.817931,62.353829,36.373067,1
126.439709,-53.693575,-31.176915,-27.712813,-38.105118,60.621778,-36.373067,20.78461,8.660254,29.444864,5
83.138439,12.124356,-45.033321,-71.014083,-8.660254,13.856406,10.392305,29.444864,20.78461,90.066642,8
109.119201,-17.320508,-57.157677,-48.497423,-36.373067,43.30127,-25.980762,48.497423,-3.464102,39.837169,5
86.60254,-20.78461,-46.765372,25.980762,-34.641016,15.588457,-43.30127,-45.033321,45.033321,36.373067,9
121.243557,20.78461,6.928203,-50.229473,-24.248711,81.406388,-36.373067,46.765372,31.176915,67.549981,3
36.373067,15.588457,-1.732051,10.392305,38.105118,57.157677,5.196152,-22.51666,45.033321,20.78461,7
48.497423,3.464102,-31.176915,-57.157677,12.124356,53.693575,25.980762,24.248711,19.052559,48.497423,8
100.458947,-0,-13.856406,-65.817931,-15.588457,67.549981,-29.444864,41.569219,1.732051,69.282032,3
83.138439,12.124356,-50.229473,-50.229473,-57.157677,27.712813,10.392305,24.248711,32.908965,91.798693,8
95.262794,-17.320508,-43.30127,-29.444864,-91.798693,-25.980762,13.856406,1.732051,-1.732051,17.320508,0
67.549981,8.660254,-51.961524,-67.549981,8.660254,25.980762,6.928203,31.176915,15.588457,98.726896,8
105.655099,-8.660254,-84.87049,-38.105118,-19.052559,41.569219,-6.928203,39.837169,15.588457,38.105118,5
31.176915,19.052559,5.196152,-43.30127,0,69.282032,-15.588457,67.549981,-3.464102,6.928203,7
76.210236,-22.51666,-64.08588,-90.066642,-79.674337,-46.765372,46.765372,-5.196152,-1.732051,48.497423,6
107.38715,8.660254,-77.942286,31.176915,-51.961524,20.78461,-58.889727,-22.51666,65.817931,13.856406,9
